DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2023,KURULUM YERİ /2023,İL,ÜRÜN MODEL,ÜRÜN,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
YURTDIŞI,2023/050,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-028,,2023-05-30,
YURTDIŞI,2023/051,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-029,,2023-05-30,
YURTDIŞI,2023/191,2023-05-11,LİBYA,LİBYA,LİBYA,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-030,,2023-05-30,
YURTDIŞI,2023/222,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 30,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-031,,2023-09-16,
YURTDIŞI,2023/223,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 30,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-032,,2023-09-16,
YURTDIŞI,2023/224,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 30,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-033,,2023-09-16,
YURTDIŞI,2023/225,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-034,,2023-09-16,
YURTDIŞI,2023/226,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-035,,2023-09-16,
YURTDIŞI,2023/227,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-036,,2023-09-16,
YURTDIŞI,2023/228,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-037,,2023-09-16,
YURTDIŞI,2023/229,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-038,,2023-09-16,
YURTDIŞI,2023/230,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-039,,2023-09-16,
YURTDIŞI,2023/231,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-040,,2023-09-16,
YURTDIŞI,2023/232,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-041,,2023-09-16,
YURTDIŞI,2023/233,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-042,,2023-09-16,
YURTDIŞI,2023/234,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-043,,2023-09-16,
YURTDIŞI,2023/235,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-044,,2023-09-16,
YURTDIŞI,2023/334,2023-10-09,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-045,,2023-10-27,
