DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2023,KURULUM YERİ /2023,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
ÖZEL,2023/162,2023-04-26,ÖZEL YÜZÜNCÜYIL HASTANESİ,ÖZEL YÜZÜNCÜYIL HASTANESİ,ANKARA,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-009,70 GÜN,2023-04-26,
DMO,2023/175,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-013,70 GÜN,2023-07-11,
DMO,2023/176,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-014,70 GÜN,2023-07-11,
DMO,2023/177,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-015,70 GÜN,2023-07-11,
DMO,2023/178,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-016,70 GÜN,2023-07-11,
DMO,2023/179,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-017,70 GÜN,2023-07-11,
DMO,2023/180,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-018,70 GÜN,2023-07-11,
DMO,2023/181,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-019,70 GÜN,2023-07-11,
DMO,2023/182,2023-05-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,,2023/02-021,65 GÜN,2023-07-12,
DMO,2023/183,2023-05-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,,2023/02-022,65 GÜN,2023-07-12,
DMO,2023/213,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-023,70 GÜN,2023-08-25,
DMO,2023/214,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-024,70 GÜN,2023-08-25,
DMO,2023/215,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-025,70 GÜN,2023-08-25,
DMO,2023/216,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-026,70 GÜN,2023-08-25,
DMO,2023/217,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-027,70 GÜN,2023-08-25,
DMO,2023/218,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-028,70 GÜN,2023-08-25,
DMO,2023/219,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-029,70 GÜN,2023-08-25,
DMO,2023/220,2023-06-16,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-030,70 GÜN,2023-08-25,
YURTDIŞI,2023/238,2023-07-04,BİRLEŞİK ARAP EMİRLİKLERİ,BİRLEŞİK ARAP EMİRLİKLERİ,BİRLEŞİK ARAP EMİRLİKLERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-031,70 GÜN,2023-07-12,
YURTDIŞI,2023/239,2023-07-04,BİRLEŞİK ARAP EMİRLİKLERİ,BİRLEŞİK ARAP EMİRLİKLERİ,BİRLEŞİK ARAP EMİRLİKLERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-032,70 GÜN,2023-07-12,
YURTDIŞI,2023/244,2023-07-18,PAKİSTAN,PAKİSTAN,PAKİSTAN,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-035,70 GÜN,2023-08-17,
ÖZEL,2023/245,2023-07-19,BAYPARK HASTANESİ,BAYPARK HASTANESİ,İSTANBUL,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-036,70 GÜN,2023-08-17,
DMO,2023/246,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-040,70 GÜN,2023-12-19,
YURTDIŞI,2023/247,2023-08-31,IRAK,IRAK,IRAK,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-037,71 GÜN,2023-09-04,
YURTDIŞI,2023/248,2023-06-13,BRONCAMED SARL,CASABLANCA MOROCCO,CASABLANCA FAS,GOLDBERG 3 S,AMELİYAT MASASI,,2023/02-033,30 GÜN,2023-07-13,
YURTDIŞI,2023/253,2023-06-13,BRONCAMED SARL,CASABLANCA MOROCCO,CASABLANCA FAS,GOLDBERG 3 S,AMELİYAT MASASI,,2023/02-034,30 GÜN,2023-07-13,
DMO,2023/274,2023-10-09,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ REKTÖRLÜĞÜ UYGULAMA VE ARAŞTIRMA HASTANESİ,SİVAS,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-039,60 GÜN,2023-12-08,
DMO,2023/275,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-041,70 GÜN,2023-12-19,
DMO,2023/276,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-042,70 GÜN,2023-12-19,
DMO,2023/277,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-043,70 GÜN,2023-12-19,
ÖZEL,2023/278,2023-09-15,ÖZEL FLORYA HASTANESİ,ÖZEL FLORYA HASTANESİ,İSTANBUL,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-038,,2023-09-20,
DMO,2023/279,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-044,70 GÜN,2023-12-19,
DMO,2023/280,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-045,70 GÜN,2023-12-19,
DMO,2023/281,2023-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-046,70 GÜN,2023-12-19,
DMO,2023/282,2023-11-15,DMO ELEZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ REKTÖRLÜĞÜ UYGULAMA VE ARAŞTIRMA HASTANESİ,SİVAS,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-048,60 GÜN,2024-01-14,
DMO,2023/336,2023-12-06,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-050,70 GÜN,2024-02-14,
DMO,2023/337,2023-12-06,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-051,70 GÜN,2024-02-14,
DMO,2023/338,2023-12-06,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-052,70 GÜN,2024-02-14,
DMO,2023/339,2023-12-06,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-053,70 GÜN,2024-02-14,
DMO,2023/340,2023-12-06,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-054,70 GÜN,2024-02-14,
DMO,2023/341,2023-12-06,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SB KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ (DEPREM BÖLGESİ),HATAY DEPREM BÖLGESİ,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-055,70 GÜN,2024-02-14,
DMO,2023/388,2023-11-06,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,GİRESUN ÜNİVERSİTESİ PROF.DR.A.İLHAN ÖZDEMİR EĞİTİM VE ARAŞTIRMA HASTANESİ,,ERM 2000 F,AMELİYAT MASASI,,2023/02-047,60 GÜN,2024-01-05,
