DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
İHALE,2019/156,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-037,2019-08-10 00:00:00,39,
İHALE,2019/157,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-038,2019-08-10 00:00:00,39,
İHALE,2019/158,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-039,2019-08-10 00:00:00,39,
İHALE,2019/159,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-040,2019-08-10 00:00:00,39,
İHALE,2019/160,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-041,2019-08-10 00:00:00,39,
İHALE,2019/161,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-042,2019-08-10 00:00:00,39,
İHALE,2019/162,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-043,2019-08-10 00:00:00,39,
YURTDIŞI,2019/168,2019-10-23,MME LLC,MME LLC,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-044,2019-10-28 00:00:00,5,
YURTDIŞI,2019/169,2019-10-23,MME LLC,MME LLC,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-045,2019-10-28 00:00:00,5,
YURTDIŞI,2019/171,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-046,2019-08-30 00:00:00,31,
YURTDIŞI,2019/172,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-047,2019-08-30 00:00:00,31,
YURTDIŞI,2019/185,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-048,2019-08-30 00:00:00,31,
YURTDIŞI,2019/186,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-049,2019-08-30 00:00:00,31,
YURTDIŞI,2019/187,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-050,2019-08-30 00:00:00,31,
YURTDIŞI,2019/188,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-051,2019-08-30 00:00:00,31,
YURTDIŞI,2019/189,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-052,2019-08-30 00:00:00,31,
YURTDIŞI,2019/190,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-053,2019-08-30 00:00:00,31,
ÖZEL,2019/204,2019-08-21,UĞUR SAĞLIK HİZMETLERİ A.Ş.,ÖZEL EREĞLİ ECOMAR HASTANESİ,ZONGULDAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-054,DERHAL,3,
YURTDIŞI,2019/206,2019-08-23,NP KOMED,NP KOMED,KOSOVA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-055,2019-09-01 00:00:00,9,
DMO,2019/208,2019-08-26,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA E ARAŞTRIMA HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-056,2019-10-14 00:00:00,49,
YURTDIŞI,2019/216,2019-10-08,KPI GROUP,KPI GROUP,GÜRCİSTAN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-057,2019-10-09 00:00:00,1,
ÖZEL,2019/222,2019-10-12,EFE MARDİN,EFE MARDİN,MARDİN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-058,2019-10-12 00:00:00,0,
YURTDIŞI,2019/264,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-059,2019-12-01 00:00:00,26,
YURTDIŞI,2019/265,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-060,2019-12-01 00:00:00,26,
YURTDIŞI,2019/266,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-061,2019-12-01 00:00:00,26,
YURTDIŞI,2019/267,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-062,2019-12-01 00:00:00,26,
YURTDIŞI,2019/268,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-063,2019-12-01 00:00:00,26,
YURTDIŞI,2019/269,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-064,2019-12-01 00:00:00,26,
YURTDIŞI,2019/270,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-065,2019-12-01 00:00:00,26,
YURTDIŞI,2019/271,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-066,2019-12-01 00:00:00,26,
YURTDIŞI,2019/272,2019-11-06,MED STANDART,MED STANDART,UKRAYNA,STR 2000,AMELİYAT MASASI,*,2019/02-067,2019-12-01 00:00:00,25,
ÖZEL,2019/277,2019-11-22,SANCAKTEPE PROF.DR.İLHAN VARANK EĞİTİM VE ARAŞTIRMA HASTANESİ,SANCAKTEPE PROF.DR.İLHAN VARANK EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-068,2019-11-23 00:00:00,1,
DMO,2019/278,2019-11-22,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-069,2019-11-23 00:00:00,1,
DMO,2019/279,2019-11-22,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-070,2019-11-23 00:00:00,1,
ÖZEL,2019/010  YÜKSELİŞ,2019-12-03,SEFERİHİSAR NECAT HEPKON DEVLET HASTANESİ,SEFERİHİSAR NECAT HEPKON DEVLET HASTANESİ,İZMİR,TKF 1100   ,AMELİYAT MASASI,*,2019/02-072,2019-12-10 00:00:00,7,
ÖZEL,2019/011 YÜKSELİŞ,2019-12-03,SEFERİHİSAR NECAT HEPKON DEVLET HASTANESİ,SEFERİHİSAR NECAT HEPKON DEVLET HASTANESİ,İZMİR,TKF 1100   ,AMELİYAT MASASI,*,2019/02-071,2019-12-10 00:00:00,7,
DMO,2019/009 YÜKSELİŞ,2019-11-22,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,EDİRNE UZUNKÖPRÜ DEVLET HASTANESİ,EDİRNE,TKF 1100   ,AMELİYAT MASASI,*,2019/02-074,2020-01-20 00:00:00,59,
ÖZEL,2019/311,2019-12-19,RADON MEDİKAL,ANKARA ÜNİVERSİTESİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-078,2019-12-20 00:00:00,1,
DMO,2019/013 YÜKSELİŞ,2019-12-13,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ISPARTA SÜLEYMAN DEMİREL ÜNİVERSİTESİ UYGULAMA ARAŞTIRMA HASTANESİ,ISPARTA,TKF 1100,AMELİYAT MASASI,*,2019/02-035,2020-02-10 00:00:00,59,
ÖZEL,2019/322,2019-12-13,ÖZEL EGEKENT SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,ÖZEL EGEKENT SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,DENİZLİ,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-079,2019-12-14 00:00:00,1,
ÖZEL,2019/333,2019-12-23,TOMKER SAĞLIK HİZMETLERİ A.Ş.,İRMET HOSPİTAL,TEKİRDAĞ,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-080,2020-01-23 00:00:00,31,
YURTDIŞI,2019/335,2019-12-25,IRAK,IRAK,IRAK,STR 2000 F,AMELİYAT MASASI,*,2019/02-082,2019-12-27 00:00:00,2,
