DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN,KURULUM YERİ /2021,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
DMO,2020/134,2021-04-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,CEYLANPINAR DEVLET HASTANESİ,GAZİANTEP,ERM 2000 F,AMELİYAT MASASI,*,2021/02-017,2021-06-09,64,
YURTDIŞI,2021/148,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-029,2021-09-13,3,
DMO,2021/149,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-040,2021-12-02,69,
DMO,2021/150,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-041,2021-12-02,69,
DMO,2021/151,2021-04-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-042,2021-12-02,238,
DMO,2021/152,2021-04-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-043,2021-12-02,238,
DMO,2021/153,2021-04-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-044,2021-12-02,238,
DMO,2021/154,2021-04-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-045,2021-12-02,238,
DMO,2021/155,2021-04-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-046,2021-12-02,238,
DMO,2021/156,2021-04-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-047,2021-12-02,238,
YURTDIŞI,2021/157,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 4S,AMELİYAT MASASI,*,2021/02-031,2021-09-13,3,
YURTDIŞI,2021/158,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 4S,AMELİYAT MASASI,*,2021/02-032,2021-09-13,3,
STOK,2021/159,2021-04-08,2022 ye aktarıldı,STOK,STOK,GOLDBERG 4S,AMELİYAT MASASI,*,2022 ye aktarıldı,,,
DEMO,2020/362,2021-04-10,ÖZEL BOSSAN HOSPİTAL,ÖZEL BOSSAN HOSPİTAL,GAZİANTEP,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-018,2021-04-10,cihaz geri geldi.,
ÖZEL,2021/164,2021-09-07,ŞAFAK DİŞ DEPOSU,KENT ÜNİVERSİTESİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2021/02-025,2021-09-30,23,
YURTDIŞI,2021/262,2021-07-27,PAKİSTAN,PAKİSTAN,PAKİSTAN,STR 2000 F,AMELİYAT MASASI,*,2021/02-022,2021-08-10,14,
YURTDIŞI,2021/263,2021-07-27,PAKİSTAN,PAKİSTAN,PAKİSTAN,STR 2000 F,AMELİYAT MASASI,*,2021/02-023,2021-08-10,14,
ÖZEL,2020/038,2021-07-30,MEDDEM SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,ÖZEL ISPARTA ŞİFA HASTANESİ,ISPARTA,STR 2000 F,AMELİYAT MASASI,*,2021/02-024,2021-08-06,7,
DMO,2021/331,2021-09-08,DMO GENEL MÜDÜRLÜĞÜ,ANKARA KEÇİÖREN EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-033,2021-11-11,64,
DMO,2021/332,2021-09-08,DMO GENEL MÜDÜRLÜĞÜ,ANKARA KEÇİÖREN EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERM 2000 F,AMELİYAT MASASI,*,2021/02-034,2021-11-11,64,
DMO,2021/333,2021-09-08,DMO GENEL MÜDÜRLÜĞÜ,ANKARA KEÇİÖREN EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERM 2000 F,AMELİYAT MASASI,*,2021/02-035,2021-11-11,64,
DMO,2021/340,2021-09-21,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR FOÇA DEVLET HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,*,2021/02-038,2021-11-19,59,
HİBE,2021/367,2021-10-20,BATTALGAZİ DEVLET HASTANESİ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-050,2021-10-21,,
DMO,2021/010,2021-11-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY KADIN DOĞUM HASTANESİ,İZMİR,TKF 1100,AMELİYAT MASASI,*,2021/02-051,2022-01-09,69,
DMO,2021/011,2021-11-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY KADIN DOĞUM HASTANESİ,İZMİR,TKF 1100,AMELİYAT MASASI,*,2021/02-052,2022-01-09,69,
DMO,2021/012,2021-11-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY KADIN DOĞUM HASTANESİ,İZMİR,TKF 1100,AMELİYAT MASASI,*,2021/02-053,2022-01-09,69,
DMO,2021/013,2021-11-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY KADIN DOĞUM HASTANESİ,İZMİR,TKF 1100,AMELİYAT MASASI,*,2021/02-054,2022-01-09,69,
DMO,2021/014,2021-11-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY KADIN DOĞUM HASTANESİ,İZMİR,TKF 1100,AMELİYAT MASASI,*,2021/02-055,2022-01-09,69,
DMO,2021/015,2021-11-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY KADIN DOĞUM HASTANESİ,İZMİR,TKF 1100,AMELİYAT MASASI,*,2021/02-056,2022-01-09,69,
DMO,2021/437,2021-11-22,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,ADANA AÇIK CEZA İNFAZ KURUMU,ADANA,ERM 2000 F,AMELİYAT MASASI,*,2021/02-059,2022-01-20,59,
DMO,2021/454,2021-12-09,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,ERM 2000 F,AMELİYAT MASASI,*,2021/02-060,2022-02-11,64,
DMO,2021/455,2021-12-09,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,ERM 2000 F,AMELİYAT MASASI,*,2021/02-061,2022-02-11,64,
2022 DE SATIŞ OLDU,2021/456,2021-12-09,2022 DE SATIŞ OLDU,2022 DE SATIŞ OLDU,2022 DE SATIŞ OLDU,2000 F ,AMELİYAT MASASI,*,,,,
