DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
DMO,2018/029,2018-11-05,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-036,60 GÜN,2019-01-01,
YURTDIŞI,2018/031,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-024,30 GÜN,2018-11-02,
ÖZEL,2018/034,2018-01-02,DED GRUP İNŞAAT MEDİKAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MALATYA DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-001,31 GÜN,,
YURTDIŞI,2018/085,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-025,30 GÜN,2018-11-02,
YURTDIŞI,2018/137,2018-07-25,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-015,DERHAL,2018-07-25,
YURTDIŞI,2018/138,2018-12-10,RAWAT ALMAJARRA COMPANY,RAWAT ALMAJARRA COMPANY,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-038,19 GÜN,2018-12-12,
ÖZEL,2018/145,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2018/02-013,20 GÜN,2018-07-18,
ÖZEL,2018/146,2018-04-30,ÖZTAN HASTANESİ,ÖZTAN HASTANESİ,UŞAK,2000 F,AMELİYAT MASASI,*,2018/02-006,2018-05-10 00:00:00,,
YURTDIŞI,2018/149,2018-09-03,COOL DEE PA ELEKTRIC CO LTD.,COOL DEE PA ELEKTRIC CO LTD.,TAYLAND,STR 2000 F,AMELİYAT MASASI,*,2018/02-023,7 GÜN,2018-09-07,
DMO,2018/161,2018-12-21,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,KAĞIZMAN DEVLET HASTANESİ,KARS,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-040,50 GÜN,2019-02-09,
DMO,2018/162,2018-12-21,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,KAĞIZMAN DEVLET HASTANESİ,KARS,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-039,50 GÜN,2019-02-09,
ÖZEL,2018/167,2018-05-18,GÜVEN HASTANESİ,GÜVEN HASTANESİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-007,51 GÜN,2018-05-28,
YURTDIŞI,2018/187,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 6S,AMELİYAT MASASI,*,2018/02-008,52 GÜN,2018-07-01,
YURTDIŞI,2018/188,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 6S,AMELİYAT MASASI,*,2018/02-009,53 GÜN,2018-07-01,
İHALE,2018/237,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-017,54 GÜN,,
İHALE,2018/238,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-018,55 GÜN,,
İHALE,2018/239,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-019,56 GÜN,,
İHALE,2018/240,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-020,57 GÜN,,
İHALE,2018/241,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-021,58 GÜN,,
YURTDIŞI,2018/299,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-026,30 GÜN,2018-11-02,
YURTDIŞI,2018/300,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-027,30 GÜN,2018-11-02,
YURTDIŞI,2018/301,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-028,30 GÜN,2018-11-02,
DMO,2018/352,2018-12-21,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SULTANGAZİ ADSM,İSTANBUL,ERM 2000 F,AMELİYAT MASASI,*,2018/02-041,50 GÜN,2019-02-09,
