DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
DMO,2022/305,2022-08-04,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA SİNCAN AĞIZVE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERM2000F,AMELİYAT MASASI,,2022/02-024,60,2022-10-03,
YURTDIŞI,2022/131,2022-08-10,PAKİSTAN,PAKİSTAN,PAKİSTAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-013,60,2022-10-09,
YURTDIŞI,2022/133,2022-08-10,PAKİSTAN,PAKİSTAN,PAKİSTAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-014,60,2022-10-09,
YURTDIŞI,2022/310,2022-11-03,CASABLANCA -FAS,FAS,FAS,GOLDBERG 3S,AMELİYAT MASASI,,2022/02-043,27,2022-11-30,
ÖZEL,2022/311,2022-11-16,MARKAMET SAĞLIK ÜRÜNLERİ SAN. TİC. LTD. ŞTİ.,MARKAMET SAĞLIK ÜRÜNLERİ - TORBALI DEVLET HASTANESİ,İZMİR,GOLDBERG 3 S,AMELİYAT MASASI,,2022/02-046,30,2022-12-16,
ÖZEL,2022/312,2022-10-24,GENÇAY TIBBİ -MEDİKAL KIRTASİYE ÜRÜNLERİ -MURAT GENÇAY,GENÇAY TIBBİ -MEDİKAL KIRTASİYE ÜRÜNLERİ -MURAT GENÇAY,MERSİN,ERM2000F,AMELİYAT MASASI,,2022/02-044,30,2022-11-23,
ÖZEL,2022/315,2022-08-11,ÖZEL YAŞAM HASTANESİ,ÇANKAYA ÖZEL YAŞAM HASTANESİ,ANKARA,ERM2000F,AMELİYAT MASASI,,2022/02-027,0,2022-08-11,
YURTDIŞI,2022/319,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-028,22,2022-09-08,
YURTDIŞI,2022/320,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-029,22,2022-09-08,
YURTDIŞI,2022/321,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-030,22,2022-09-08,
YURTDIŞI,2022/322,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-031,22,2022-09-08,
YURTDIŞI,2022/323,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-032,22,2022-09-08,
YURTDIŞI,2022/324,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-033,22,2022-09-08,
YURTDIŞI,2022/414,2022-08-17,FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-034,22,2022-09-08,
DMO,2022/333,2022-09-30,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN BAFRA AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,SAMSUN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-036,60,2022-11-29,
YURTDIŞI,2022/387,2022-10-10,IRAK,IRAK AL AZHAR HASTANESİ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-037,14,2022-10-24,
YURTDIŞI,2022/393,2022-10-13,LÜBNAN,LÜBNAN,LÜBNAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-038,5,2022-10-18,
DMO,2022/410,2022-11-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÇAPA TIP FAKÜLTESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-040,65,2023-01-08,
DMO,2022/411,2022-11-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÇAPA TIP FAKÜLTESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-041,65,2023-01-08,
YURTDIŞI,2022/451,2022-11-03,CASABLANCA -FAS,FAS,FAS,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-042,27,2022-11-30,
ÖZEL,2022/458,2022-11-11,ÖZEL FLORYA HASTANESİ,ÖZEL FLORYA HASTANESİ,İSTANBUL,GOLDBERG 5S  - OBEZ UYUMLU,AMELİYAT MASASI,,2022/02-045,19,2022-11-30,
