DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
DMO,2019/333,2020-04-16,DMO DİYARBAKIR BÖLGE MÜDRÜLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-081,2020-06-19 00:00:00,64,
DMO,2020/136,2019-12-10,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,NEVŞEHİR DEVLET HASTANESİ,NEVŞEHİR,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-007,2020-08-10 00:00:00,60,
DMO,2020/137,2019-12-10,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,NEVŞEHİR DEVLET HASTANESİ,NEVŞEHİR,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-008,2020-08-10 00:00:00,60,
DMO,2020/150,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-011,2020-05-10 00:00:00,11,
DMO,2020/151,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-012,2020-05-10 00:00:00,11,
DMO,2020/152,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-013,2020-05-10 00:00:00,11,
DMO,2020/153,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-014,2020-05-10 00:00:00,11,
DMO,2020/154,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-015,2020-05-10 00:00:00,11,
DMO,2020/155,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-016,2020-05-10 00:00:00,11,
DMO,2020/156,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-017,2020-05-10 00:00:00,11,
DMO,2020/157,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-018,2020-05-10 00:00:00,11,
DMO,2020/158,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-019,2020-05-10 00:00:00,11,
DMO,2020/159,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-020,2020-05-10 00:00:00,11,
DMO,2020/160,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-021,2020-05-10 00:00:00,11,
DMO,2020/161,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-022,2020-05-10 00:00:00,11,
DMO,2020/162,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-023,2020-05-10 00:00:00,11,
DMO,2020/163,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-024,2020-05-10 00:00:00,11,
DMO,2020/164,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-025,2020-05-10 00:00:00,11,
DMO,2020/165,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-028,2020-05-10 00:00:00,11,
DMO,2020/166,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-029,2020-05-10 00:00:00,11,
DMO,2020/167,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-030,2020-05-10 00:00:00,11,
DMO,2020/168,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-031,2020-05-10 00:00:00,11,
DMO,2020/170,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-032,2020-05-10 00:00:00,11,
DMO,2020/171,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-033,2020-05-10 00:00:00,11,
DMO,2020/172,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-034,2020-05-10 00:00:00,11,
DMO,2020/173,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-035,2020-05-10 00:00:00,11,
DMO,2020/174,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-036,2020-05-10 00:00:00,11,
DMO,2020/175,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-037,2020-05-10 00:00:00,11,
DMO,2020/176,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-038,2020-05-10 00:00:00,11,
DMO,2020/177,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-039,2020-05-10 00:00:00,11,
DMO,2020/178,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-040,2020-05-10 00:00:00,11,
DMO,2020/179,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-041,2020-05-10 00:00:00,11,
DMO,2020/180,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-042,2020-05-10 00:00:00,11,
DMO,2020/181,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,CİZRE DEVLET HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-043,2020-05-10 00:00:00,11,
DMO,2020/182,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,CİZRE DEVLET HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-044,2020-05-10 00:00:00,11,
ÖZEL,2020/237,2020-09-25,SİEMENS HEALTHCARE SAĞLIK A.Ş.,SAMSUN 19 MAYIS ÜNİVERSİTESİ,SAMSUN,STR 2000 F,AMELİYAT MASASI,*,2020/02-049,2020-09-27 00:00:00,2,
ÖZEL,2020/238,2020-09-07,ATESE MEDİKAL,ARNAVUTLUK,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-050,2020-10-07 00:00:00,30,
2021 DE DEMO OLARAK GİTTİ,2020/240,2020-06-10,2021 DE DEMO OLARAK GİTTİ,2021 DE DEMO OLARAK GİTTİ,2021 DE DEMO OLARAK GİTTİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/241,2020-06-10,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
ÖZEL,2020/291,2020-07-27,RADON MEDİKAL,RADON MEDİKAL,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-051,2020-10-27 00:00:00,92,
YURTDIŞI,2020/292,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-052,2020-08-11 00:00:00,7,
YURTDIŞI,2020/293,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-053,2020-08-11 00:00:00,7,
YURTDIŞI,2020/294,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-054,2020-08-11 00:00:00,7,
YURTDIŞI,2020/295,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-055,2020-08-11 00:00:00,7,
YURTDIŞI,2020/296,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-056,2020-08-11 00:00:00,7,
YURTDIŞI,2020/297,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-057,2020-08-11 00:00:00,7,
YURTDIŞI,2020/298,2020-08-04,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-058,2020-08-11 00:00:00,7,
DMO,2020/335,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-059,2020-10-02 00:00:00,11,
DMO,2020/336,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-060,2020-10-02 00:00:00,11,
DMO,2020/337,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-061,2020-10-02 00:00:00,11,
DMO,2020/338,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-062,2020-10-02 00:00:00,11,
DMO,2020/339,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-063,2020-10-02 00:00:00,11,
DMO,2020/340,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-064,2020-10-02 00:00:00,11,
2021 DE SATIŞA ÇEVRİLDİ,2020/341,2020-09-22,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,SERVİSİN MASASI YERİNE YENİ BİNASI İÇİN DEMO OLARAK BIRAKILDI,
ÖZEL,2020/342,2020-10-27,ÖZEL VATAN HASTANESİ,ÖZEL VATAN HASTANESİ,KAHRAMANMARAŞ,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-065,2020-10-02 00:00:00,15,
2021 DE SATIŞA ÇEVRİLDİ,2020/356,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/357,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/358,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/359,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/360,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/361,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/362,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/363,2020-10-07,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
