DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2024,KURULUM YERİ /2024,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
DMO,2023/393,2024-03-11,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,SİVAS,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-011,60 GÜN,2024-05-10,
YURTDIŞI,2023/427,2023-11-28,FAS,FAS,FAS,GOLDBERG 3 S,AMELİYAT MASASI,,2024/02-027,60 GÜN,2024-05-10,
YURTDIŞI,2023/428,2023-11-28,FAS,FAS,FAS,GOLDBERG 3 S,AMELİYAT MASASI,,2024/02-028,60 GÜN,2024-05-10,
YURTDIŞI,2023/429,2023-11-28,FAS,FAS,FAS,GOLDBERG 3 S,AMELİYAT MASASI,,2024/02-029,60 GÜN,2024-05-10,
ÖZEL,2024/190,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-020,60 GÜN,,
ÖZEL,2024/191,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-021,60 GÜN,,
ÖZEL,2024/192,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-022,60 GÜN,,
ÖZEL,2024/193,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-023,60 GÜN,,
ÖZEL,2024/194,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-024,60 GÜN,,
ÖZEL,2024/195,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-025,60 GÜN,,
ÖZEL,2024/196,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-026,60 GÜN,,
YURTDIŞI,2024/250,2024-07-30,FAS,FAS,FAS,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-032,60 GÜN,2024-08-05,
DEMO,2024/251,2024-08-09,ANKARA EĞİTİM V E ARAŞTIRMA HASTANESİ,ANKARA EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-033,60 GÜN,2024-08-10,demo gitti
DEMO,2024/252,2024-07-30,ANKARA EĞİTİM V E ARAŞTIRMA HASTANESİ,HİBE,ANKARA,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-034,60 GÜN,2024-08-05,demo gitti
DMO,2024/253,2024-09-06,MALATYA İL SAĞLIK MÜDÜRLÜĞÜ,MALATYA İL SAĞLIK MÜDÜRLÜĞÜ,MALATYA,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-027,60 GÜN,2024-11-05,
YURTDIŞI,2024/259,2024-09-19,MET RUSYA,MET RUSYA,RUSYA,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-038,60 GÜN,2024-09-25,
DEMO,2024/260,2024-09-17,BAFRA DEVLET HASTANESİ,BAFRA DEVLET HASTANESİ,SAMSUN,GOLDBERG 5 S,AMELİYAT MASASI,,2024/02-037,60 GÜN,,
