DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
DMO,2022/233,2022-05-11,DMO,GAZİ ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,ANKARA,GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-009,60,2022-07-10,
DMO,2022/234,2022-05-11,DMO,GAZİ ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,ANKARA,GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-010,60,2022-07-10,
YURTDIŞI,2022/241,2022-06-08,KONGO,KONGO,KONGO,GP 160 D,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-011,7,2022-06-15,
DMO,2022/302,2022-07-07,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-013,60,2022-09-05,
YURTDIŞI,2022/325,2022-08-17,FAS,FAS,FAS,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-014,22,2022-09-08,
ÖZEL,2022/330,2022-04-08,BAHÇEŞEHİR ÜNİVERSİTESİ,BAHÇEŞEHİR ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-015,42,2022-05-20,
YURTDIŞI,2022/340,2022-09-12,ROMANYA - NİCU,ROMANYA,ROMANYA,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-016,42,2022-10-24,
YURTDIŞI,2022/341,2022-09-12,ROMANYA - NİCU,ROMANYA,ROMANYA,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-017,42,2022-10-24,
YURTDIŞI,2022/362,2022-09-24,IRAK - MERİVAN,IRAK,IRAK,GOLDBERG GP 120 S,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2022/04-018,30,2022-10-24,
YURTDIŞI,2022/406,2022-10-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2022/04-020,25,2022-11-19,
YURTDIŞI,2022/412,2022-10-25,ROMANYA - NİCU,ROMANYA,ROMANYA,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-021,26,2022-11-20,
DMO,2022/471,2022-11-18,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BURDUR DEVLET HASTANESİ,BURDUR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2022/04-023,64,2023-01-21,
