DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
DMO,2021/168,2021-05-17,DMO GENEL MÜDÜRLÜĞÜ,KAZAN HAMDİ ERİŞ DEVLET HASTANESİ,ANKARA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-011,2021-07-20 00:00:00,64,
YURTDIŞI,2021/219,2021-06-05,NASİRİYAH,NASİRİYAH,IRAK,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-012,2021-06-30 00:00:00,25,
YURTDIŞI,2021/224,2021-06-10,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-013,2021-07-01 00:00:00,21,
ÖZEL,2021/237,2021-06-22,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-014,2021-07-22 00:00:00,30,
ÖZEL,2021/238,2021-06-24,KUZU GRUP,HATAY DÖRTYOL DEVLET HASTANESİ,HATAY,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-015,2021-07-24 00:00:00,30,
YURTDIŞI,2021/042,2021-07-01,VİETNAM,VİETNAM,VİETNAM,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-003,2021-07-03 00:00:00,2,
YURTDIŞI,2020/318,2021-08-04,"MME, LLC",UKRAYNA,UKRAYNA,GP 160 ,160 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,160 LT,2021/04-017,2021-08-20 00:00:00,16,
YURTDIŞI,2021/279,2021-08-16,"MME, LLC",UKRAYNA,UKRAYNA,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-018,2021-08-20 00:00:00,4,
DMO,2021/323,2021-10-08,DMO GENEL MÜDÜRLÜĞÜ,K.K.T.C.,KIBRIS,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-020,2021-11-01 00:00:00,24,
YURTDIŞI,2021/334,2021-09-10,ROMANYA,ROMANYA,ROMANYA,GP 200 D,200 LT ÇİFT KAPILI PLAZMA CİHAZI,200 LT,2021/04-019,2021-10-15 00:00:00,35,
YURTDIŞI,2019/344,2021-11-01,VİETNAM,VİETNAM,VİETNAM,GP 160,160 LT ÇİFT KAPILI PLAZMA CİHAZI,160 LT,2021/04-022,2021-11-10 00:00:00,9,
YURTDIŞI,2021/386,2021-11-03,IRAK,IRAK,IRAK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-023,2021-11-30 00:00:00,27,
DMO,2021/399,2021-11-19,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SAKARYA TOYOTASA ACİL YARDIM HASTANESİ,SAKARYA,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-025,2022-01-21 00:00:00,63,
DMO,2021/403,2021-11-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY SAMANDAĞ DEVLET HASTANESİ,HATAY,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-024,2022-01-13 00:00:00,64,
DMO,2021/448,2021-12-09,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-026,2022-02-11 00:00:00,64,
