DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ
DMO,2019/131,2019-11-11,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,MEDENİYET ÜNİVERSİTESİ BİLİMSEL ARAŞTIRMA PROJELERİ KOORDİNASYON BİRİMİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-049,2020-01-09,
YURTDIŞI,2019/132,2019-07-23,M-TECH LTD,M-TECH LTD,GÜRCİSTAN,GOLDBERG 160 D,160 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-042,2019-08-08,
ÖZEL,2019/142,2019-05-29,ADAY GRUP,PENDİK VETERİNERLİK FAKÜLTESİ,İSTANBUL,STR 1000 D,1000 LT ÇİFT KAPILI OTOKLAV CİHAZI,1000 LT,2019/01-032,2019-06-29,
DMO,2019/144,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-033,2019-07-23,
DMO,2019/145,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-034,2019-07-23,
DMO,2019/146,2019-05-31,DMO GENEL MÜDÜRLÜĞÜ,ANKARA EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-035,2019-07-24,
DMO,2019/147,2019-05-31,DMO GENEL MÜDÜRLÜĞÜ,ANKARA EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-036,2019-07-24,
DMO,2019/148,2019-05-31,DMO GENEL MÜDÜRLÜĞÜ,ANKARA EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,GOLDBERG 840 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-037,2019-07-24,
DMO,2019/149,2019-05-31,DMO GENEL MÜDÜRLÜĞÜ,ANKARA EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,GOLDBERG 840 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-038,2019-07-24,
YURTDIŞI,2019/176,2019-12-16,AL MASARA HOSPİTAL,AL MASARA HOSPİTAL,LİBYA-SURMAN,GOLDBERG 300 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-108,2019-12-20,
ÖZEL,2019/182,2019-07-29,ÖZEL HUZUR SAĞLIK HİZMETLERİ LTD.ŞTİ.,İSTANBUL DAYIOĞLU TIP MERKEZİ,İSTANBUL,STR 4410 D,160 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-044,2019-08-10,
YURTDIŞI,2019/191,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-057,2019-09-15,
YURTDIŞI,2019/192,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-058,2019-09-15,
YURTDIŞI,2019/193,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-059,2019-09-15,
YURTDIŞI,2019/194,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-060,2019-09-15,
YURTDIŞI,2019/195,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-061,2019-09-15,
YURTDIŞI,2019/196,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-062,2019-09-15,
YURTDIŞI,2019/197,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-063,2019-09-15,
YURTDIŞI,2019/198,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-064,2019-09-15,
YURTDIŞI,2019/199,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-065,2019-09-15,
YURTDIŞI,2019/200,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-066,2019-09-15,
YURTDIŞI,2019/201,2019-08-19,ALNOOR,ALNOOR,IRAK,STR 4410 S,200 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,200 LT,2019/01-067,2019-09-15,
YURTDIŞI,2019/202,2019-08-21,NİCONCULTİNG,NİCONCULTİNG,ROMANYA,STR 4407 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-068,2019-09-16,
YURTDIŞI,2019/203,2019-08-21,VİTTA,VİTTA,AZERBEYCAN,GOLDBERG 120 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-069,2019-09-17,
DMO,2019/209,2019-08-29,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,BOZOVA DEVLET HASTANESİ,ŞANLIURFA,ERS 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-071,2019-10-22,
YURTDIŞI,2019/210,2019-09-04,PT MEGAH ALKESINDO,PT MEGAH ALKESINDO,ENDONEZYA,STR 5510 S,250 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2019/01-072,2019-09-23,
ÖZEL,2019/211,2019-09-11,MEDİKALTEST HASTANE VE LABORATUVAR CİHAZLARI-ERHAN ÇİFTÇİOĞLU,MEDİKALTEST HASTANE VE LABORATUVAR CİHAZLARI-ERHAN ÇİFTÇİOĞLU,MERSİN,STR 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-051,2019-09-21,
YURTDIŞI,2019/213,2019-09-19,NİCONCULTİNG,NİCONCULTİNG,ROMANYA,STR 4410 S,160 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-043,2019-10-05,
ÖZEL,2019/217,2019-10-10,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL,STR 4410 D,160 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-074,2019-10-20,
ÖZEL,2019/218,2019-10-10,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL,STR 4410 D,160 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-075,2019-10-20,
DMO,2019/219,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ANDIRIN DEVLET HASTANESİ,KAHRAMANMARAŞ,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-076,2019-12-13,
DMO,2019/220,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ELBİSTAN ADSM,KAHRAMANMARAŞ,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-077,2019-12-13,
DMO,2019/253,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ELBİSTAN ADSM,KAHRAMANMARAŞ,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-078,2019-12-13,
YURTDIŞI,2019/223,2019-09-19,NİCONCULTİNG,NİCONCULTİNG,ROMANYA,STR 4410 S,160 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-073,2019-10-05,
DMO,2019/276,2019-10-31,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,İSCEHİSAR DEVLET HASTANESİ,AFYONKARAHİSAR,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2019/01-106,2020-01-03,
DMO,2019/244,2019-11-15,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY KUMLU İLÇE DEVLET HASTANESİ,HATAY,ERS 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 LT,2019/01-083,2020-01-13,
DMO,2019/247,2019-12-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,KIRKLARELİ VİZE DEVLET HASTANESİ,KIRKLARELİ,ERS 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-107,2020-02-01,
ÖZEL,2019/250,2019-12-23,TOMKER SAĞLIK HİZMETLERİ A.Ş.,İRMET HOSPİTAL,TEKİRDAĞ,STR 6610 D,422 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,422 LT,2019/01-110,2020-01-23,
YURTDIŞI,2019/251,2019-11-12,JCA SOLUCİONES,JCA SOLUCİONES,EKVATOR,STR 6610 S,422 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,422LT,2019/01-081,2019-12-01,
DMO,2019/221,2019-10-28,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BÜYÜKÇEKMECE ADSM,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-079,2019-12-26,
DMO,2019/254,2019-11-28,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,ÇANAKKALE,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-088,2020-01-31,
DMO,2019/255,2019-11-25,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,VAKFIKEBİR DEVLET HASTANESİ,TRABZON,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-085,2020-01-23,
DMO,2019/256,2019-11-12,DMO VAN BÖLGE MÜDÜRLÜĞÜ,BİTLİS TATVAN DEVLET HASTANESİ,BİTLİS,GOLDBERG 840 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-082,2020-01-15,
DMO,2019/257,2019-11-05,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,KİLİS DEVLET HASTANESİ,KİLİS,ERS 7715 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-054,2020-01-03,
YURTDIŞI,2019/258,2019-12-16,AL MASARA HOSPİTAL,AL MASARA HOSPİTAL,LİBYA-SURMAN,GOLDBERG 4410 S,160 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2019/01-070,2019-12-20,
DMO,2019/259,2019-12-06,DMO PAZARLAMA GENEL MÜDÜRLÜĞÜ,KEÇİÖREN EĞİTİM ARAŞTIRMA HASTANESİ,ANKARA,ERS 6613 S,550 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2019/01-087,2019-12-21,
YURTDIŞI,2019/263,2019-11-05,VİTTA MEDİCAL,VİTTA MEDİCAL,AZERBEYCAN,GOLDBERG 75 L,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-080,2019-11-30,
DMO,2019/275,2019-11-25,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ÜSKÜDAR DEVLET HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2019/01-084,2020-01-23,
YURTDIŞI,2019/287,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-089,2019-12-25,
YURTDIŞI,2019/288,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-090,2019-12-25,
YURTDIŞI,2019/289,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-091,2019-12-25,
YURTDIŞI,2019/290,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-092,2019-12-25,
YURTDIŞI,2019/291,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-093,2019-12-25,
YURTDIŞI,2019/292,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-094,2019-12-25,
YURTDIŞI,2019/293,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-095,2019-12-25,
YURTDIŞI,2019/294,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-096,2019-12-25,
YURTDIŞI,2019/295,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-097,2019-12-25,
YURTDIŞI,2019/296,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-098,2019-12-25,
YURTDIŞI,2019/297,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-099,2019-12-25,
YURTDIŞI,2019/298,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-100,2019-12-25,
YURTDIŞI,2019/299,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-101,2019-12-25,
YURTDIŞI,2019/300,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-102,2019-12-25,
YURTDIŞI,2019/301,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-103,2019-12-25,
YURTDIŞI,2019/302,2019-11-29,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2019/01-104,2019-12-25,
DMO,2019/242,2019-12-02,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,MARDİN SAVUR PROF.DR.AZİZ SANCAR İLÇE DEVLET HASTANESİ,MARDİN,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2019/01-047,2020-01-30,
YURTDIŞI,2019/304,2019-12-03,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-048,2019-12-25,
YURTDIŞI,2019/305,2019-12-03,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-105,2019-12-25,
YURTDIŞI,2019/306,2019-12-03,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-055,2019-12-25,
YURTDIŞI,2019/307,2019-12-03,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,120 LT,2019/01-056,2019-12-25,
