DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2024,KURULUM YERİ /2024,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
YURTDIŞI,2023/364,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-030,40 GÜN,2024-02-20,
İHALE,2023/369,2023-12-26,MSB.SHH.İKM.VE BKM.MRK.BŞK.LIĞI,YENİ GİRNE ASKER HASTANESİ,KIBRIS,STR 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-004,90 GÜN,2024-03-25,
YURTDIŞI,2023/382,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-031,40 GÜN,2024-02-20,
DMO,2023/386,2024-02-14,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SİNOP AYRANCIK DEVLET HASTANESİ,SİNOP,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-032,60 GÜN,2024-04-14,
YURTDIŞI,2023/402,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-006,20 GÜN,2024-02-20,
YURTDIŞI,2023/403,2023-11-15,NURSA İNŞAAT  ELEKTRONİK TİC. SAN. LTD. ŞTİ.,AKSARAY AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,AKSARAY,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-007,20 GÜN,2024-04-30,
YURTDIŞI,2023/404,2023-11-15,NURSA İNŞAAT  ELEKTRONİK TİC. SAN. LTD. ŞTİ.,AKSARAY AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,AKSARAY,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-008,20 GÜN,2024-04-30,
YURTDIŞI,2023/405,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-009,20 GÜN,2024-02-20,
YURTDIŞI,2023/406,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-010,20 GÜN,2024-02-20,
YURTDIŞI,2023/407,2024-09-05,VITTA SCIENTIFIC -TECNICAL COMPANY,AZERBAYCAN,AZERBAYCAN,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-011,20 GÜN,2024-09-11,
YURTDIŞI,2023/408,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-012,20 GÜN,2024-02-20,
YURTDIŞI,2023/409,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-013,20 GÜN,2024-02-20,
YURTDIŞI,2023/410,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-014,20 GÜN,2024-02-20,
YURTDIŞI,2023/411,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-015,20 GÜN,2024-02-20,
YURTDIŞI,2023/412,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-016,20 GÜN,2024-02-20,
YURTDIŞI,2023/413,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-017,20 GÜN,2024-02-20,
YURTDIŞI,2023/414,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-018,20 GÜN,2024-02-20,
YURTDIŞI,2023/415,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-019,20 GÜN,2024-02-20,
YURTDIŞI,2024/002,2024-09-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2024/01-116,40 GÜN,2024-10-13,
ÖZEL,2024/016,2024-08-12,ETKİN TIBBİ CİHAZLAR,ETKİN TIBBİ CİHAZLAR,İZMİR,GOLDBERG 250 S,250 LT TEK KAPILI OTOKLAV CİHAZI,250 LT,2024/01-217,40 GÜN,2024-08-30,
YURTDIŞI,2024/039,2024-01-10,FAS,FAS,FAS,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-077,40 GÜN,2024-02-20,
YURTDIŞI,2024/041,2024-01-10,FAS,FAS,FAS,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-156,40 GÜN,2024-02-20,
YURTDIŞI,2024/028,2024-02-19,ROMANYA,ROMANYA,ROMANYA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-037,40 GÜN,2024-03-24,
DMO,2024/029,2024-02-26,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA GÖLBAŞI ÜLKÜ ULUSOY AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-041,65 GÜN,2024-05-01,
YURTDIŞI,2024/030,2024-02-26,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-042,40 GÜN,2024-03-11,
DMO,2024/031,2024-03-05,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ANTALYA İL SAĞLIK MÜDÜRLÜĞÜ,ANTALYA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-047,65 GÜN,2024-05-09,
DMO,2024/032,2024-03-05,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ANTALYA İL SAĞLIK MÜDÜRLÜĞÜ,ANTALYA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-048,65 GÜN,2024-05-09,
YURTDIŞI,2024/034,2024-03-06,NİCU,ROMANYA,ROMANYA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-050,40 GÜN,2024-04-15,
YURTDIŞI,2024/033,2024-03-14,UN,MOLDOVA,MOLDOVA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-060,40 GÜN,2024-04-15,
YURTDIŞI,2024/035,2024-03-14,UN,MOLDOVA,MOLDOVA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-061,40 GÜN,2024-04-15,
YURTDIŞI,2024/036,2024-03-14,UN,MOLDOVA,MOLDOVA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-062,40 GÜN,2024-04-15,
YURTDIŞI,2024/037,2024-03-14,UN,MOLDOVA,MOLDOVA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-063,40 GÜN,2024-04-15,
DMO,2024/038,2024-03-15,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA MARMARİS DEVLET HASTANESİ,MUĞLA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-068,65 GÜN,2024-05-19,SİPARİŞİ GELMEDİ
DMO,2024/026,2024-04-15,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,"
ORDU İL SAĞLIK MÜDÜRLÜĞÜ
",ORDU,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-020,66 GÜN,2024-05-20,2024-06-19 00:00:00
YURTDIŞI,2024/040,2024-04-27,IRAK MERİVAN MODERN MEDİKAL,IRAK,IRAK,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-082,35 GÜN,2024-05-20,
YURTDIŞI,2024/027,2024-07-03,MEDİKALPARK KOSAVA HASTANESİ,MEDİKALPARK KOSAVA HASTANESİ,KOSAVA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-021,35 GÜN,2024-07-10,
YURTDIŞI,2024/042,2024-07-31,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-157,35 GÜN,2024-09-15,
YURTDIŞI,2024/043,2024-07-31,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2024/01-158,35 GÜN,2024-09-15,
ÖZEL,2023/265,2024-03-06,DİYARBAKIR GAZİ YAŞARGİL EĞİTİM VE ARAŞTIRMA HASTANESİ,DİYARBAKIR GAZİ YAŞARGİL EĞİTİM VE ARAŞTIRMA HASTANESİ,DİYARBAKIR,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2023/01-111,35 GÜN,,
DMO,2024/048,2023-10-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BARTIN İL SAĞLIK MÜDÜRLÜĞÜ -BARTIN DEVLET HASTANESİ,BARTIN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-067,65 GÜN,2023-12-20,
DMO,2024/045,2023-04-14,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BARTIN İL SAĞLIK MÜDÜRLÜĞÜ -BARTIN DEVLET HASTANESİ,BARTIN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-056,65 GÜN,2023-06-18,
DMO,2023/124,2024-03-12,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BALIKESİR EDREMİT ALİ FAHRİ AKILLIOĞLU AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,BALIKESİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2023/01-061,35 GÜN,2024-05-11,
DMO,2024/047,2023-04-14,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BARTIN İL SAĞLIK MÜDÜRLÜĞÜ -BARTIN DEVLET HASTANESİ,BARTIN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-066,65 GÜN,2024-05-19,
DMO,2024/069,2024-08-23,DMO 1 NOLU SÜREÇLER DAİRE BAŞKANLIĞI,KONYA KARARTAY ADSM,KONYA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-088,65 GÜN,2024-10-27,
DMO,2023/123,2024-03-15,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA MARMARİS DEVLET HASTANESİ,MUĞLA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2023/01-060,65 GÜN,2024-05-19,
DMO,2024/044,2024-03-15,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA MARMARİS DEVLET HASTANESİ,MUĞLA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-055,65 GÜN,2024-05-19,
DMO,2024/049,2024-02-27,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ADIYAMAN EĞİTİM VE ARAŞTIRMA HASTANESİ,ADIYAMAN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-069,65 GÜN,2024-05-02,
DMO,2024/050,2024-03-20,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ÇORUM AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ÇORUM,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-070,65 GÜN,2024-05-24,
ÖZEL,2024/051,2023-11-15,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-071,35 GÜN,2024-02-20,
ÖZEL,2024/052,2023-11-15,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-072,35 GÜN,2024-02-20,
DMO,2024/061,2024-03-27,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ZONGULDAK KARADENİZ EREĞLİ AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ZONGULDAK,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-090,65 GÜN,2024-05-31,
DMO,2024/054,2024-03-27,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ZONGULDAK KARADENİZ EREĞLİ AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ZONGULDAK,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-074,65 GÜN,2024-05-31,
DMO,2024/055,2024-04-19,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR MENEMEN DEVLET HASTANESİ,İZMİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-080,60 GÜN,2024-06-18,
DMO,2024/056,2024-05-10,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,KOCAELİ DERİNCE AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,KOCAELİ,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-083,65 GÜN,2024-07-14,
DMO,2024/057,2024-09-27,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,DENİZLİ SERVER GAZİ DEVLET HASTANESİ,DENİZLİ,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-084,60 GÜN,2024-11-26,
DMO,2024/058,2024-06-12,DMO DİYARBAKIR İRTİBAT BÜROSU,DİYARBAKIR AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,DİYARBAKIR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-085,60 GÜN,2024-08-11,
DMO,2024/053,2024-08-07,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BORNOVA ADSM,İZMİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-073,60 GÜN,2024-10-06,
DMO,2024/060,2024-08-07,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,KÜTAHYA SAĞLIK BİLİMLERİ ÜN.STJ GELİŞ.D.B.LIĞI,KÜTAHYA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-089,65 GÜN,2024-10-11,
DMO,2024/059,2024-09-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL GÖZTEPE PROF. DR. SÜLEYMAN YALÇIN ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-086,65 GÜN,2024-11-06,
YURTDIŞI,2024/062,2024-01-10,FAS,FAS,FAS,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-101,35 GÜN,2024-02-20,
DMO,2024/063,2024-09-10,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL GÖZTEPE PROF. DR. SÜLEYMAN YALÇIN ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-104,65 GÜN,2024-11-14,
DMO,2024/064,2024-09-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA POLATLI AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-108,65 GÜN,2024-11-14,
DMO,2024/065,2024-09-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA POLATLI AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-111,65 GÜN,2024-11-14,
DMO,2024/066,2024-09-25,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE DÜZİÇİ DEVLET HASTANESİ,OSMANİYE,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-118,65 GÜN,2024-11-29,
DMO,2024/067,2024-09-25,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,KOCAELİ DERİNCE AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,KOCAELİ,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-119,65 GÜN,2024-11-29,
DMO,2024/068,2024-09-26,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA ETİMESGUT AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-120,65 gün,2024-11-30,
ÖZEL,2024/082,2024-05-16,İZMİR DEMOKRASİ ÜNV.DİŞ HEKİMLİĞİ FAK.,İZMİR DEMOKRASİ ÜNV.DİŞ HEKİMLİĞİ FAK.,İZMİR,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-109,35 GÜN,2024-07-20,
ÖZEL,2024/070,2024-07-16,MEDİKALPARK ANTALYA HASTANESİ,MEDİKALPARK ANTALYA HASTANESİ,ANTALYA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-097,35 GÜN,2024-07-25,
DMO,2024/071,2024-08-27,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA ETİMESGUT AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-098,65 GÜN,2024-10-31,
DMO,2024/072,2024-09-30,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE DÜZİÇİ DEVLET HASTANESİ,OSMANİYE,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-122,65 GÜN,2024-12-04,
ÖZEL,2024/046,2024-01-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-096,35 GÜN,2024-03-07,
İHALE,2024/083,2024-06-11,KAYSERİ DEVLET HASTANESİ,KAYSERİ DEVLET HASTANESİ,KAYSERİ,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-110,30 GÜN,2024-07-10,
DMO,2024/100,2023-12-25,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,GÖZTEPE PROF SÜLEYMAN YALÇINŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-001,65 GÜN,2024-02-28,
DMO,2024/101,2023-12-25,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,GÖZTEPE PROF SÜLEYMAN YALÇINŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-002,65 GÜN,2024-02-28,
DMO,2024/102,2024-02-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-033,65 GÜN,2024-04-21,
DMO,2024/103,2024-02-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-034,65 GÜN,2024-04-21,
DMO,2024/104,2024-02-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-035,65 GÜN,2024-04-21,
DMO,2024/105,2024-03-08,DMO DİYARBAKIR İRTİBAT BÜROSU,MARDİN İL SAĞLIK MÜDÜRLÜĞÜ,MARDİN,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-052,65 GÜN,2024-05-12,
DMO,2024/106,2024-03-14,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,ORDU AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ORDU,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-059,60 GÜN,2024-05-13,
DMO,2024/107,2024-04-01,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ EVLİYA ÇELEBİ EĞİTİM VE ARAŞTIRMA HASTANESİ,KÜTAHYA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-040,65 GÜN,2024-06-05,
DMO,2024/108,2024-05-08,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ EVLİYA ÇELEBİ EĞİTİM VE ARAŞTIRMA HASTANESİ,KÜTAHYA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-075,65 GÜN,2024-07-12,
DMO,2024/109,2024-08-27,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA ONKOLOJİ HASTANESİ,ANKARA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-117,65 GÜN,2024-10-31,
DMO,2024/110,2024-08-21,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL SAĞLIK BİL.ÜNV.ŞİŞLİ HAMİDİYE ETFAL EAH.,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-087,65 GÜN,2024-10-25,
DMO,2024/111,2024-09-03,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SANCAKTEPE ŞEHİT PROF DR. İLHAN VARANK EĞİTİM ARAŞTIRMA HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-091,65 GÜN,2024-11-07,
DMO,2024/113,2024-09-11,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL SAĞLIK BİL.ÜNV.ŞİŞLİ HAMİDİYE ETFAL EAH.,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-105,65 GÜN,2024-11-15,
DMO,2024/114,2024-09-20,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SANCAKTEPE ŞEHİT PROF DR. İLHAN VARANK EĞİTİM ARAŞTIRMA HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-106,60 GÜN,2024-11-19,
