DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
2023 YILINA AKTARILDI,2022/023,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,,,,
2024 e aktarıldı,2022/024,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,,,,
YURTDIŞI,2022/025,2022-05-11,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2022/01-045,,2022-06-06,
2024 e aktarıldı,2022/026,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,,,,
YURTDIŞI,2022/027,2022-05-11,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2022/01-046,,2022-06-06,
YURTDIŞI,2022/028,2022-05-11,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2022/01-047,,2022-06-06,
YURTDIŞI,2022/029,2022-05-11,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2022/01-048,,2022-06-06,
YURTDIŞI,2022/030,2022-04-19,NİCU,ROMANYA,ROMANYA,STR 4410 S (Eski Kazan),160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2022/01-037,,2022-05-12,
YURTDIŞI,2022/031,2022-04-19,NİCU,ROMANYA,ROMANYA,STR 4410 S (Eski Kazan),160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2022/01-038,,2022-05-12,
YURTDIŞI,2022/032,2022-04-25,NİCU,ROMANYA,ROMANYA,STR 4410 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2022/01-039,,2022-05-15,
2023 YILINA AKTARILDI,2022/033,2022-10-27,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,,,,
2024 e aktarıldı,2022/034,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
YURTDIŞI,2022/035,2022-06-08,FAS,FAS,FAS,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2022/01-063,,2022-06-15,
YURTDIŞI,2022/036,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2022/01-096,,2022-09-30,
YURTDIŞI,2022/037,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2022/01-097,,2022-09-30,
2023 YILINA AKTARILDI,2022/038,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
2023 YILINA AKTARILDI,2022/039,2022-01-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
ÖZEL,2022/040,2022-08-05,KORKMAZ MED. İNŞAAT TIBBİ CİH. MAK. İHR. İTH. SAN. TİC. LTD. ŞTİ.,KORKMAZ MED. İNŞAAT TIBBİ CİH. MAK. İHR. İTH. SAN. TİC. LTD. ŞTİ.,HAKKARİ,STR 5512 S,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,2022/01-057,15 GÜN,2022-08-15,
YURTDIŞI,2022/041,2022-05-18,LİBYA,LİBYA,LİBYA,GOLDBERG 300 S,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,2022/01-050,,,
YURTDIŞI,2022/042,2022-03-03,EUROMEDITECH,FAS,FAS,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-011,,2022-03-11,
YURTDIŞI,2022/043,2022-02-21,ANH,VİETNAM,VİETNAM,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-009,,2022-03-10,
DMO,2022/044,2022-03-09,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE GÖKÇEADA DEVLET HASTANESİ,ÇANAKKALE,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-016,,2022-05-08,
ÖZEL,2022/405,2021-09-07,ŞAFAK DİŞ DEPOSU TIP GEREÇLERİ SAN. TİC.LTD. ŞTİ.,KENT ÜNİVERSİTESİ,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-120,,2021-09-30,
YURTDIŞI,2022/046,2022-04-13,FAS,FAS,FAS,GOLBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-031,,2022-04-06,
DMO,2022/298,2022-05-13,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,UŞAK SİVASLI İLÇE DEVLET HASTANESİ,UŞAK,ERS 6610 D ,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-083,,2022-07-12,
İHALE,2022/048,2022-07-18,HARRAN ÜNİVERSİTESİ,HARRAN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,ŞANLIURFA,STR 6613 D (TERS),550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-078,,2022-09-16,
2024 e aktarıldı,2022/049,2022-01-06,2024 e aktarıldı,2024 e aktarıldı,STOK,TERS,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,,,,
İHALE,2022/050,2022-01-27,İZMİR İL SAĞLIK MÜDÜRLÜĞÜ,BUCA ACİL DURUM HASTANESİ,İZMİR,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-003,,2022-03-12,
DMO,2022/051,2022-03-28,DMO -BURSA BÖLGE MÜDÜRÜLÜĞÜ,BOLU İZZET BAYSAL AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,BOLU,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-008,60 GÜN,2022-05-27,
DMO,2022/052,2022-03-08,DMO,GAZİ ÜNİVERSİTESİ SAĞLIK ARAŞTIRMA VE UYGULAMA MERKEZİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT, 2022/01-013,,2022-05-07,
ÖZEL,2022/060,2022-04-07,PRUVA SAĞLIK ÜRÜNLERİ TİC. LTD. ŞTİ.,TRABZON,TRABZON,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-029,,,
DMO,2022/054,2022-04-29,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,BODRUM DEVLET HASTANESİ,MUĞLA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-027, 60 GÜN,2022-06-28,
YURTDIŞI,2022/057,2022-12-16,LÜBNAN,LÜBNAN,LÜBNAN,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-021,,2023-01-05,
DMO,2022/245,2022-02-11,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BİLECİK BOZÜYÜK AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,BİLECİK,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-060,,2022-04-16,
İHALE,2022/055,2022-04-04,KOCAELİ ÜNİVERSİTESİ ARAŞTIRMA VE UYGULAMA HASTANESİ,KOCAELİ ÜNİVERSİTESİ ARAŞTIRMA VE UYGULAMA HASTANESİ,KOCAELİ,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-018,,2022-05-24,
DMO,2022/056,2022-04-21,DMO MERSİN İRTİBAT BÜROSU,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,NEVŞEHİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-020,,2022-06-24,
YURTDIŞI,2022/059,2022-08-22,IRAK,IRAK,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-028,,2022-08-25,
İHALE,2022/053,2022-04-08,BAHÇEŞEHİR ÜNİVERSİTESİ,BAHÇEŞEHİR ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-025,42 GÜN,2022-05-20,
YURTDIŞI,2022/061,2022-02-09,NİCU,NİCU,ROMANYA,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-006,,2022-02-28,
DMO,2022/062,2022-03-08,DMO- GAZİ ÜNİVERSİTESİ,GAZİ ÜNİV. SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,ANKARA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT , 2022/01-014,,2022-05-07,
DMO,2022/142,2022-04-28,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRESİ BAŞKANLIĞI,KONYA BEYHEKİM EĞİTİM VE ARAŞTIRMA HASTANESİ,KONYA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT ,2022/01-055,60,2022-06-27,
DMO,2022/064,2022-02-09,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ TIP FAKÜLTESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT ,2022/01-007,,2022-04-09,
DMO,2022/065,2022-01-06,DMO ANKARA ,GAZİ ÜNİV. SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,ANKARA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT , 2022/01-015,,2022-05-07,
DMO,2022/066,2022-01-31,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİŞLİ HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT ,2022/01-004,,2022-03-23,
DMO,2022/067,2022-01-31,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİŞLİ HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT ,2022/01-005,,2022-03-23,
DMO,2022/068,2022-01-18,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİŞLİ HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT ,2022/01-001,,2022-03-23,
DMO,2022/069,2022-01-18,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİŞLİ HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT ,2022/01-002,,2022-03-23,
2024 e aktarıldı,2022/106,2022-02-01,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI 40X40,120 LT,,,,
2024 e aktarıldı,2022/107,2022-02-01,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,,,,
YURTDIŞI,2022/108,2022-09-12,ROMANYA -NİCU,ROMANYA,ROMANYA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,2022/01-098,,2022-10-14,
2024 e aktarıldı,2022/109,2022-02-01,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,,,,
2024 e aktarıldı,2022/110,2022-02-01,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,,,,
2024 e aktarıldı,2022/111,2022-02-01,2024 e aktarıldı,2024 e aktarıldı,STOK,,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,,,,
ÖZEL,2022/112,2022-02-01,AAS SAĞLIK VE GÜZELLİK HİZM. A.Ş.,SULE HAİRTRANSPLANT,İSTANBUL,STR 5510 S,250 LT TEK KAPILI OTOKLAV CİHAZI 35X70,250 LT,2022/01-010,,2022-04-01,
2023 YILINA AKTARILDI,2022/113,2022-02-01,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT TEK KAPILI OTOKLAV CİHAZI 35X70,250 LT,,,,
2024 e aktarıldı,2022/114,2022-02-01,2024 e aktarıldı,2024 e aktarıldı,STOK,,250 LT TEK KAPILI OTOKLAV CİHAZI 35X70,250 LT,,,,
2023 YILINA AKTARILDI,2022/115,2022-02-01,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT TEK KAPILI OTOKLAV CİHAZI 35X70,250 LT,,,,
DMO,2022/138,2022-04-07,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRESİ BAŞKANLIĞI,GAZİ ÜNİVERSİTESİ SAĞLIK ARAŞTIRMA VE UYGULAMA MERKEZİ,ANKARA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-024,65 GÜN,2022-06-11,
DMO,2022/139,2022-04-07,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRESİ BAŞKANLIĞI,GAZİ ÜNİVERSİTESİ SAĞLIK ARAŞTIRMA VE UYGULAMA MERKEZİ,ANKARA,GOLBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT ,2022/01-023,65 GÜN,2022-06-11,
DMO,2022/140,2022-08-19,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL PROF. DR. CEMİL TAŞÇIOĞLU ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 840,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT ,2022/01-084,65 GÜN,2022-10-23,
DMO,2022/063,2022-05-27,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL TAKSİM EĞİTİM VE ARAŞTRIMA HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-035,65 GÜN,2022-07-31,
DMO,2022/141,2022-05-27,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,METİN SABANCI BALTA LİMANI KEMİK HASTALIKLARI EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-054,65 GÜN,2022-07-31,
ÖZEL,2022/143,2022-06-30,VETERİNER KONTROL MERKEZ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,VETERİNER KONTROL MERKEZ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ - VİROLOJİK TEŞHİS LABORATUVARI,ANKARA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-068, 15 GÜN,2022-07-15,
YURTDIŞI,2022/144,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-089,,2022-09-30,
YURTDIŞI,2022/145,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-090,,2022-09-30,
YURTDIŞI,2022/146,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-091,,2022-09-30,
YURTDIŞI,2022/147,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-092,,2022-09-30,
DMO,2022/150,2022-03-08,DMO ERZURUM İRTİBAT BÜROSU,ARTVİN YUSUFELİ DEVLET HASTANESİ,ARTVİN,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-026,,,
ÖZEL,2022/148,2022-03-18,BAŞAKŞEHİR TIP MERKEZİ,BAŞAKŞEHİR TIP MERKEZİ,İSTANBUL,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-012,,,
ÖZEL,2022/149,2022-04-07,BOZYAZI DEVLET HASTANESİ,BOZYAZI DEVLET HASTANESİ,MERSİN,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-017,15 GÜN,2022-04-22,
YURTDIŞI,2022/151,2022-06-22,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-062,,2022-07-09,
YURTDIŞI,2022/152,2022-06-22,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-066,,,
YURTDIŞI,2022/201,2022-04-13,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2022/01-030,,2022-05-06,
2023 YILINA AKTARILDI,2022/202,2022-11-30,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2022/01-034,,,
DMO,2022/229,2022-05-23,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SAKARYA AKYAZI DEVLET HASTANESİ,SAKARYA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-041, 60 GÜN,2022-07-22,
ÖZEL,2022/231,2022-05-10,ASZ KİMYA TİC. LTD. ŞTİ.,DİYARBAKIR ÖZEL DÜNYA HASTANESİ,DİYARBAKIR,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-042,,2022-05-27,
DMO,2022/058,2022-05-20,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR İL SAĞLIK MÜDÜRLÜĞÜ,İZMİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-022, 65 GÜN,2022-07-24,
İHALE,2022/237,2022-04-08,BAHÇEŞEHİR ÜNİVERSİTESİ,BAHÇEŞEHİR ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-052,,2022-05-20,
DMO,2022/236,2022-05-25,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN  İL SAĞLIK MÜDÜRLÜĞÜ,SAMSUN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-051, 65 GÜN,2022-07-29,
DMO,2022/239,2022-05-27,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,METİN SABANCI BALTA LİMANI KEMİK HASTALIKLARI EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-056,65 GÜN,2022-07-31,
YURTDIŞI,2022/240,2022-04-13,KONGO,KONGO,KONGO,GOLDBERG 840D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-058,,2022-05-04,
DMO,2022/243,2022-06-02,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,PAMUKKALE ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,DENİZLİ,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-059, 60 GÜN,2022-08-01,
DMO,2022/238,2022-06-03,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,KÜTAHYA İL SAĞLIK MÜDÜRLÜĞÜ -AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,KÜTAHYA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-053, 65 GÜN,2022-08-07,
DMO,2022/249,2022-06-08,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE İL SAĞLIK MÜDÜRLÜĞÜ - BİGA ADSM,ÇANAKKALE,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-061, 65 GÜN,2022-08-12,
ÖZEL,2022/274,2022-06-13,AKYURT PHARMA İLAÇ SAN VE TİC. A.Ş.,AKYURT PHARMA İLAÇ SAN VE TİC. A.Ş.,ANKARA,STR 2000 D,2000 LT ÇİFT KAPILI BUHAR STERİLİZATÖRÜ,2000 LT,2022/01-064,10 HAFTA,2022-08-12,
