DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ
DMO,2018/081,2018-03-14,DMO GENEL MÜDÜRLÜĞÜ,KAMAN DEVLET HASTANESİ,KIRŞEHİR,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-020,55 GÜN,
ÖZEL,2018/089,2018-03-22,BEZMİALEM VAKIF ÜNİVERSİTESİ,BEZMİALEM VAKIF ÜNİVERSİTESİ,İSTANBUL,STR 5510 S,250 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2018/01-021,30 GÜN,
ÖZEL,2018/060,2018-04-11,ÖZEL SAFA TESHİS VE TEDAVİ MERKEZİ,ÖZEL SAFA TESHİS VE TEDAVİ MERKEZİ,İZMİR,TKF 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-022,DERHAL,
DMO,2018/104,2018-04-03,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,İSKENDERUN ADSM,İSKENDERUN,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-023,2018-05-27 00:00:00,
DMO,2018/213,2018-04-03,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,İSKENDERUN ADSM,İSKENDERUN,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-024,2018-05-27 00:00:00,
YURTDIŞI,2018/058,2018-04-20,GÜRCİSTAN,PRİME,GÜRCİSTAN,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2018/01-025,2018-05-09 00:00:00,
DMO,2018/062,2018-04-27,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURHANİYE DEVLET HASTANESİ,BALIKESİR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-026,2018-06-15 00:00:00,
DMO,2018/083,2018-05-03,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BÜYÜKÇEKMECE DEVLET HASTANESİ,İSTANBUL,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-027,55 GÜN,
DMO,2018/106,2018-05-03,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BÜYÜKÇEKMECE DEVLET HASTANESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-028,55 GÜN,
DMO,2018/066,2018-05-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BÜYÜKÇEKMECE DEVLET HASTANESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-029,56 GÜN,
DMO,2018/153,2018-05-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İPSALA DEVLET HASTANESİ,EDİRNE,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-030,50 GÜN,
DMO,2018/056,2018-05-08,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-031,50 GÜN,
DMO,2018/061,2018-05-08,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-032,50 GÜN,
İHALE,2018/090,2018-05-08,T.C. ATATÜRK ÜNİVERSİTESİ REKTÖRLÜĞÜ BAP,T.C. ATATÜRK ÜNİVERSİTESİ REKTÖRLÜĞÜ BAP,ERZURUM,STR 5510 S,250 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2018/01-033,150 GÜN,
DMO,2018/157,2018-05-09,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,ÇEŞME DEVLET HASTANESİ,İZMİR,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-034,50 GÜN,
DMO,2018/117,2018-04-27,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,FOÇA DEVLET HASTANESİ,İZMİR,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-035,51 GÜN,
ÖZEL,2018/165,2018-05-16,ALYANS MEDİKAL,ALYANS MEDİKAL,ANKARA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-036,52 GÜN,
ÖZEL,2018/169,2018-05-26,ADERANS TEKNİK TAAH.İNŞ.SAN.TİC.LTD.ŞTİ.,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İSTANBUL,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-037,53 GÜN,
DMO,2018/171,2018-06-12,DMO GENEL MÜDÜRLÜĞÜ,KEÇİÖREN EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 6613 S,550 LT TEK KALIPI OTOKLAV CİHAZI,550 LT,2018/01-038,54 GÜN,
DMO,2018/077,2018-06-12,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,KOZAN İLÇE SAĞLIK MÜDÜRLÜĞÜ-SAĞLIKLI HAYAT MERKEZİ,ADANA,ERS 75 V,75 LT OTOKLAV CİHAZI,75 LT,2018/01-039,50,
DMO,2018/101,2018-06-12,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,CEYHAN İLÇE SAĞLIK MÜDÜRLÜĞÜ-SAĞLIKLI HAYAT MERKEZİ,ADANA,ERS 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-040,55 GÜN,
YURTDIŞI,2018/173,2018-06-18,MİCHİELS SA,MİCHİELS SA,BELÇİKA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2018/01-041,35,
YURTDIŞI,2018/174,2018-06-18,MİCHİELS SA,MİCHİELS SA,BELÇİKA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2018/01-042,35,
YURTDIŞI,2018/175,2018-06-18,MİCHİELS SA,MİCHİELS SA,BELÇİKA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2018/01-043,35,
YURTDIŞI,2018/176,2018-06-18,NI CONSULTİNG / MR. NİCU,NI CONSULTİNG / MR. NİCU,ROMANYA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-044,35,
YURTDIŞI,2018/177,2018-06-18,NI CONSULTİNG / MR. NİCU,NI CONSULTİNG / MR. NİCU,ROMANYA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-045,35,
YURTDIŞI,2018/178,2018-06-18,NI CONSULTİNG / MR. NİCU,NI CONSULTİNG / MR. NİCU,ROMANYA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-046,35,
DMO,2018/179,2018-06-18,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-047,35,
DMO,2018/180,2018-06-18,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-048,55 GÜN,
DMO,2018/181,2018-06-18,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-049,55 GÜN,
DMO,2018/102,2018-06-18,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,ARDAHAN DEVLET HASTANESİ,ARDAHAN,ERS 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-050,55 GÜN,
DMO,2018/103,2018-06-18,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,ARDAHAN DEVLET HASTANESİ,ARDAHAN,ERS 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-051,55 GÜN,
YURTDIŞI,2018/183,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 250 D,250 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2018/01-052,35,
YURTDIŞI,2018/184,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2018/01-053,35,
DMO,2018/197,2018-06-28,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,CİDE DEVLET HASTANESİ,KASTOMU,ERS 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-054,50 GÜN,
ÖZEL,2018/199,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-055,20 GÜN,
ÖZEL,2018/201,2018-06-30,BİLKENT ÜNİVERSİTESİ FEN FAKÜLTESİ,BİLKENT ÜNİVERSİTESİ FEN FAKÜLTESİ,ANKARA,STR 6610 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2018/01-056,20 GÜN,
DMO,2018/205,2018-07-06,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,OKMEYDANI ADSM,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-058,50 GÜN,
YURTDIŞI,2018/207,2018-07-10,NI CONSULTİNG / MR. NİCU,NI CONSULTİNG / MR. NİCU,ROMANYA,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-059,35,
YURTDIŞI,2018/208,2018-07-10,NI CONSULTİNG / MR. NİCU,NI CONSULTİNG / MR. NİCU,ROMANYA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-060,35,
YURTDIŞI,2018/210,2018-07-13,PT.MEGAH,PT.MEGAH,SİNGAPUR,STR 4410 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2018/01-061,35,
DMO,2018/211,2018-07-23,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ ,ANTALYA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-062,55 GÜN,
DMO,2018/212,2018-07-23,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ ,ANTALYA,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-063,55 GÜN,
DMO,2018/084,2018-07-24,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,FİNİKE DEVLET HASTANESİ,ANTALYA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-064,55 GÜN,
DMO,2018/215,2018-07-24,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,FİNİKE DEVLET HASTANESİ,ANTALYA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-065,55 GÜN,
YURTDIŞI,2018/120,2018-07-25,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-066,DERHAL,
ÖZEL,2018/247,2018-09-13,AVİCENNA HASTANESİ,AVİCENNA HASTANESİ,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-067,20 GÜN,
DMO,2018/232,2018-08-15,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BEYLİKDÜZÜ DEVLET HASTANESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-068,50 GÜN,
ÖZEL,2018/233,2018-08-17,MALTEPE ÜNİVERSİTESİ TIP FAKÜLTESİ,MALTEPE ÜNİVERSİTESİ TIP FAKÜLTESİ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-069,30 GÜN,
İHALE,2018/234,2018-08-27,KARABÜK İL SAĞLIK MÜDÜRLÜĞÜ,KARABÜK ADSM,KARABÜK,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-070,30 GÜN,
İHALE,2018/235,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-071,60 GÜN,
İHALE,2018/236,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-072,60 GÜN,
DMO,2018/244,2018-09-03,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,YEŞİLYURT DEVLET HASTANESİ,MALATYA,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-073,55 GÜN,
DMO,2018/216,2018-07-25,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HAYRABOLU DEVLET HASTANESİ,TEKİRDAĞ,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-074,55 GÜN,
YURTDIŞI,2018/248,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-075,35,
YURTDIŞI,2018/249,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-076,35,
YURTDIŞI,2018/250,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-077,35,
YURTDIŞI,2018/251,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-078,35,
YURTDIŞI,2018/252,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-079,35,
YURTDIŞI,2018/253,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-080,35,
YURTDIŞI,2018/254,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-081,35,
YURTDIŞI,2018/255,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-082,35,
YURTDIŞI,2018/256,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-083,35,
YURTDIŞI,2018/257,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-084,35,
YURTDIŞI,2018/258,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-085,35,
YURTDIŞI,2018/259,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-086,35,
YURTDIŞI,2018/260,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-087,35,
YURTDIŞI,2018/261,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-088,35,
YURTDIŞI,2018/262,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-089,35,
YURTDIŞI,2018/263,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-090,35,
YURTDIŞI,2018/264,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-091,35,
YURTDIŞI,2018/265,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-092,35,
YURTDIŞI,2018/266,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-093,35,
YURTDIŞI,2018/267,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-094,35,
YURTDIŞI,2018/268,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-095,35,
YURTDIŞI,2018/269,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-096,35,
YURTDIŞI,2018/270,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-097,35,
YURTDIŞI,2018/271,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-098,35,
YURTDIŞI,2018/272,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-099,35,
YURTDIŞI,2018/273,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-100,35,
YURTDIŞI,2018/274,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-101,35,
YURTDIŞI,2018/275,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-102,35,
YURTDIŞI,2018/276,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-103,35,
YURTDIŞI,2018/277,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-104,35,
YURTDIŞI,2018/278,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-105,35,
YURTDIŞI,2018/279,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-106,35,
YURTDIŞI,2018/280,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-107,35,
YURTDIŞI,2018/281,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-108,35,
YURTDIŞI,2018/282,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-109,35,
YURTDIŞI,2018/283,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-110,35,
YURTDIŞI,2018/284,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-111,35,
YURTDIŞI,2018/285,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-112,35,
YURTDIŞI,2018/286,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-113,35,
