kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,irsaliye_tarihi,aciklama,solusyon_fatura,bidon_acilisi,uts_no
AMELIYAT MASASI,YURTDIŞI,2019/054,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-008,30,2019-03-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/055,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-009,30,2019-03-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/056,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-010,30,2019-03-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/057,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-011,30,2019-03-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/058,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-012,30,2019-03-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/063,2019-03-04,UKRAYNA 2,UKRAYNA 2,UKRAYNA 2,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-013,10,2019-03-14,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/064,2019-03-04,UKRAYNA 2,UKRAYNA 2,UKRAYNA 2,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-014,10,2019-03-14,,,,,
AMELIYAT MASASI,ÖZEL,2019/065,2019-03-18,YÜKSELİŞ HASTANE EKİPMANLARI,TOKUŞTEPE TİBBİ CİHAZLAR,ANKARA,TKF 1100 S,AMELİYAT MASASI,*,2019/02-003,31,2019-04-18,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/067,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-015,28,2019-04-18,,,,,
AMELIYAT MASASI,DMO,2019/079,2019-04-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-016,15,2019-04-19,,,,,
AMELIYAT MASASI,DMO,2019/080,2019-04-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-017,16,2019-04-20,,,,,
AMELIYAT MASASI,DMO,2019/088,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-019,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/089,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-020,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/090,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-021,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/091,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-022,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/092,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-023,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/093,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-024,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/094,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-025,59,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/095,2019-04-16,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-026,59,2019-06-14,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/112,2019-05-08,VİTTA,VİTTA,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-027,24,2019-06-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/113,2019-05-08,VİTTA,VİTTA,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-028,24,2019-06-01,,,,,
AMELIYAT MASASI,DMO,2019/133,2019-11-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA E ARAŞTRIMA HASTANESİ,SİVAS,ERM 2000 F,AMELİYAT MASASI,*,2019/02-073,59,2020-01-25,,,,,
AMELIYAT MASASI,DMO,2019/134,2019-06-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-033,54,2019-08-20,,,,,
AMELIYAT MASASI,DMO,2019/143,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-029,54,2019-07-23,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/151,2019-10-25,BO TECH,BO TECH,FAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-031,4,2019-10-29,,,,,
AMELIYAT MASASI,DMO,2019/152,2019-11-22,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-032,1,2019-11-23,,,,,
AMELIYAT MASASI,DMO,2019/153,2019-06-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-033,54,2019-08-20,,,,,
AMELIYAT MASASI,DMO,2019/154,2019-06-27,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-034,54,2019-08-20,,,,,
AMELIYAT MASASI,İHALE,2019/155,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-036,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/156,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-037,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/157,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-038,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/158,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-039,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/159,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-040,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/160,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-041,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/161,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-042,39,2019-08-10,,,,,
AMELIYAT MASASI,İHALE,2019/162,2019-07-02,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-043,39,2019-08-10,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/168,2019-10-23,MME LLC,MME LLC,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-044,5,2019-10-28,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/169,2019-10-23,MME LLC,MME LLC,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-045,5,2019-10-28,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/171,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-046,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/172,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-047,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/185,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-048,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/186,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-049,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/187,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-050,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/188,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-051,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/189,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-052,31,2019-08-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/190,2019-07-30,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-053,31,2019-08-30,,,,,
AMELIYAT MASASI,ÖZEL,2019/204,2019-08-21,UĞUR SAĞLIK HİZMETLERİ A.Ş.,ÖZEL EREĞLİ ECOMAR HASTANESİ,ZONGULDAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-054,3,DERHAL,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/206,2019-08-23,NP KOMED,NP KOMED,KOSOVA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-055,9,2019-09-01,,,,,
AMELIYAT MASASI,DMO,2019/208,2019-08-26,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA E ARAŞTRIMA HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-056,49,2019-10-14,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/216,2019-10-08,KPI GROUP,KPI GROUP,GÜRCİSTAN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-057,1,2019-10-09,,,,,
AMELIYAT MASASI,ÖZEL,2019/222,2019-10-12,EFE MARDİN,EFE MARDİN,MARDİN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-058,0,2019-10-12,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/264,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-059,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/265,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-060,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/266,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-061,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/267,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-062,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/268,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-063,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/269,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-064,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/270,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-065,26,2019-12-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/271,2019-11-05,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-066,26,2019-12-01,,,,,
