kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,aciklama,solusyon_fatura,bidon_acilisi
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0116,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0117,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0118,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0119,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0120,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0121,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0122,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0123,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0124,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0125,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0126,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0127,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0128,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0129,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0130,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0131,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0132,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0133,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0134,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0135,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0136,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0137,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0138,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0139,,,,,
KARTUS,,2018/008,2018-01-15,KOCAELİ DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2018/07-0140,,,,,
KARTUS,,2018/008,2018-01-15,KOCAELİ DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2018/07-0141,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-142,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-143,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-144,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-145,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-146,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-147,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-148,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-149,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-150,,,,,
KARTUS,,2018/009,2018-01-22,TOPRAK HOSPİTAL-STERİMED MEDİKAL,,İSTANBUL,,KARTUŞ,,2018/07-151,,,,,
KARTUS,DEMO,2018/010,2018-01-24,KOCAELİ DEVLET HASTANESİ,,İSTANBUL,,KARTUŞ,,2018/07-152,,,ÜCRETSİZ,,
KARTUS,DEMO,2018/010,2018-01-24,KOCAELİ DEVLET HASTANESİ,,İSTANBUL,,KARTUŞ,,2018/07-153,,,ÜCRETSİZ,,
KARTUS,DEMO,2018/010,2018-01-24,KOCAELİ DEVLET HASTANESİ,,İSTANBUL,,KARTUŞ,,2018/07-154,,,ÜCRETSİZ,,
KARTUS,DEMO,2018/010,2018-01-24,KOCAELİ DEVLET HASTANESİ,,İSTANBUL,,KARTUŞ,,2018/07-155,,,ÜCRETSİZ,,
KARTUS,DEMO,2018/010,2018-01-24,KOCAELİ DEVLET HASTANESİ,,İSTANBUL,,KARTUŞ,,2018/07-156,,,ÜCRETSİZ,,
KARTUS,,2018/011,2018-01-26,MERİVAN IRAK GİDEN CİHAZLARIN İÇİNE KONULDU.,,IRAK,,KARTUŞ,,2018/07-157,,,,,
KARTUS,,2018/011,2018-01-26,MERİVAN IRAK GİDEN CİHAZLARIN İÇİNE KONULDU.,,IRAK,,KARTUŞ,,2018/07-158,,,,,
KARTUS,,2018/011,2018-01-26,MERİVAN IRAK GİDEN CİHAZLARIN İÇİNE KONULDU.,,IRAK,,KARTUŞ,,2018/07-159,,,,,
