kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparisin_durumu,irsaliye_tarihi
yikama,DMO,2018/053,2018-03-14,DMO GENEL MÜDÜRLÜĞÜ,KAMAN DEVLET HASTANESİ,KIRŞEHİR,TSY 290,290 LT YIKAMA CİHAZI,290 LT,2018/05-010,56 GÜN,,,
yikama,DMO,2018/054,2018-07-24,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,FİNİKE DEVLET HASTANESİ,ANTALYA,TSY 290,290 LT YIKAMA CİHAZI,290 LT,2018/05-030,55 GÜN,2018-09-16,,
yikama,DMO,2018/055,2018-01-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER SAĞLIK MÜDÜRLÜĞÜ DESTEK MÜDÜRLÜĞÜ-ÇOBANBEY,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-002,56 GÜN,,,
yikama,DMO,2018/076,2018-05-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,YEŞİLYURT DEVLET HASTANESİ,MALATYA,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-017,50 GÜN,2018-06-22,,
yikama,DMO,2018/096,2018-05-08,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BEYLİKDÜZÜ DEVLET HASTANESİ,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-031,50 GÜN,2018-09-28,,
yikama,DMO,2018/099,2018-11-08,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-021,51 GÜN,,,
yikama,DMO,2018/098,2018-04-03,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,İSKENDERUN ADSM,İSKENDERUN,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-012,52 GÜN,2018-05-27,,
yikama,DMO,2018/098,2018-05-04,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-019,50 GÜN,2018-06-22,,
yikama,DMO,2018/097,2018-05-08,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-018,50 GÜN,2018-06-22,,
yikama,ÖZEL,2018/100,2018-05-04,ENDOVET-GÜVEN MEDİKAL,TATVAN DEVLET HASTANESİ,TATVAN,GY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-016,51 GÜN,2018-05-09,,
yikama,DMO,2018/118,2018-03-03,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-007,55 GÜN,2018-04-25,,
yikama,DMO,2018/119,2018-03-03,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-008,55 GÜN,2018-04-25,,
yikama,DMO,2018/152,2018-05-03,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BÜYÜKÇEKMECE DEVLET HASTANESİ,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-014,55 GÜN,2018-06-26,,
yikama,DMO,2018/185,2018-07-23,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ANTALYA,TSY 290 O,290 LT ÇİFT KAPILI  YIKAMA CİHAZI,290 LT,2018/05-028,55 GÜN,2018-09-15,,
yikama,YURTDIŞI,2018/166,2018-05-18,ALPLER MEDİKAL VE SAĞLIK LTD.ŞTİ.,ALPLER MEDİKAL VE SAĞLIK LTD.ŞTİ.,MOLDOVA,GY 290,290 LT ÇİFT KAPILI  YIKAMA CİHAZI,290 LT,2018/05-023,56 GÜN,2018-06-08,,
yikama,DMO,2018/168,2018-04-03,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,İSKENDERUN ADSM,İSKENDERUN,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-024,57 GÜN,2018-07-15,,
yikama,YURTDIŞI,2018/154,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GY 290 ,290 LT YIKAMA CİHAZI,290 LT,2018/05-025,58 GÜN,2018-07-01,,
yikama,DMO,2018/196,2018-06-28,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-026,59 GÜN,,,
yikama,DMO,2018/214,2018-07-24,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,FİNİKE DEVLET HASTANESİ,ANTALYA,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-029,55 GÜN,2018-09-16,,
yikama,DMO,2018/230,2018-11-30,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,TEKİRDAĞ ŞARKÖY DEVLET HASTANESİ,TEKİRDAĞ,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-039,50 GÜN,2019-01-18,,
yikama,DMO,2018/246,2018-09-13,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HAYRABOLU DEVLET HASTANESİ,TEKİRDAĞ,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-034,55 GÜN,2018-11-06,,
yikama,YURTDIŞI,2018/302,2018-09-19,RAWAAT-ALMAJARRA COMPANY,RAWAAT-ALMAJARRA COMPANY,IRAK,GY 290,290 LT TEK KAPI YIKAMA CİHAZI,290 LT,2018/05-035,3 HAFTA,2018-10-10,,
yikama,DMO,2018/297,2018-09-25,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-036,50 GÜN,2018-11-14,,
yikama,YURTDIŞI,2018/353,2018-10-31,SHORESH ENTERPRISE,SHORESH ENTERPRISE,SİNGAPUR,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-038,15 GÜN,2018-11-15,,
yikama,YURTDIŞI,2018/324,2018-12-06,SHİNYAR COMPANY FOR GENERAL ,SHİNYAR COMPANY FOR GENERAL ,IRAK,GY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-042,30 GÜN,2019-01-06,,
yikama,İHALE,2018/327,2018-12-01,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,GY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-040,30 GÜN,2019-01-01,,
yikama,İHALE,2018/343,2018-12-01,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-041,30 GÜN,2019-01-01,,
yikama,ÖZEL,2018/309,2018-12-24,A HOSPİTAL SAĞLIK HİZM.TİC.LTD.ŞTİ.,A HOSPİTAL SAĞLIK HİZM.TİC.LTD.ŞTİ.,İSTANBUL,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-044,15 GÜN,2019-01-07,,
yikama,YURTDIŞI,2019/006,2019-01-17,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD.,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD.,IRAK,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-043,121,2019-05-18,,
yikama,DMO,2019/007,2019-06-26,DMO PAZARLAMA BÖLGE MÜDÜRLÜĞÜ,BAYAT DEVLET HASTANESİ,ÇORUM,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-015,23,2019-07-19,,
yikama,DMO,2019/062,2019-02-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KONAK DİŞ HASTANESİ,İZMİR,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-001,10,2019-02-11,,
yikama,DMO,2019/015,2019-03-15,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-007,54,2019-05-08,,
yikama,DMO,2019/016,2019-02-22,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ÜSKÜDAR ADSM,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-006,54,2019-04-17,,
yikama,YURTDIŞI,2019/017,2019-05-08,ALHİKMA HOSPİTAL,ALHİKMA HOSPİTAL,LİBYA,GY 290,290 LT YIKAMA CİHAZI,290 LT,2019/05-013,43,2019-06-20,,
yikama,YURTDIŞI,2019/019,2019-02-08,"MME LLC,ALEXANDER","MME LLC,ALEXANDER",UKRAYNA,GY 290,290 LT TEK KAPILI YIKAMA CİHAZI,225 LT,2019/05-002,28,2019-03-08,,
yikama,DMO,2019/037,2019-02-15,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİLE DEVLET HASTANESİ,İSTANBUL,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-003,54,2019-04-10,,
yikama,İHALE,2019/038,2019-02-19,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,GY 400,400 LT YIKAMA DEZENFEKSİYON CİHAZI,400 LT,,51,2019-04-11,,
yikama,DMO,2019/040,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-004,28,2019-03-19,,
yikama,DMO,2019/041,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-005,28,2019-03-19,,
yikama,YURTDIŞI,2019/048,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-009,28,2019-04-18,,
yikama,YURTDIŞI,2019/049,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-010,28,2019-04-18,,
yikama,DMO,2019/050,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ANDIRIN DEVLET HASTANESİ,KAHRAMANMARAŞ,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-035,64,2019-12-13,,
yikama,DMO,2019/051,2019-05-22,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN ADSM,BATMAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-018,54,2019-07-15,,
yikama,ÖZEL,2019/061,2019-05-07,ERPA ÖZEL SAĞLIK HİZMETLERİ,ERPA ÖZEL SAĞLIK HİZMETLERİ,DENİZLİ,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-012,15,2019-05-22,,
yikama,YURTDIŞI,2019/060,2019-07-09,EKVATOR,EKVATOR,EKVATOR,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-022,13,2019-07-22,,
yikama,DMO,2019/081,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-016,54,2019-07-23,,
yikama,DMO,2019/082,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-017,54,2019-07-23,,
yikama,DMO,2019/084,2019-08-29,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,BOZOVA DEVLET HASTANESİ,ŞANLIURFA,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-023,54,2019-10-22,,
yikama,DMO,2019/096,2019-06-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,ANTALYA,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-019,54,2019-08-20,,
yikama,İHALE,2019/097,2019-07-04,YÜKSELİŞ HATSANE EKİPMANLARI,SANCAKTEPE ŞEHİT PROF.DR.İLHAN VARANK EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-021,11,2019-07-15,,
yikama,DMO,2019/101,2019-06-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,ANTALYA,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-020,54,2019-08-20,,
yikama,İHALE,2019/104,2019-04-27,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-011,116,2019-08-21,,
yikama,İHALE,2019/123,2019-05-14,BÜYÜKÇEKMECE ADSM,BÜYÜKÇEKMECE ADSM,İSTANBUL,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-014,100,2019-08-22,,
yikama,DMO,2019/136,2019-11-12,DMO VAN BÖLGE MÜDÜRLÜĞÜ,BİTLİS TATVAN DEVLET HASTANESİ,BİTLİS,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-031,41,2019-12-23,,
yikama,DMO,2019/137,2019-12-20,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,ADANA CEYHAN DEVLET HASTANESİ,ADANA,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-030,4,2019-12-24,,
yikama,DMO,2019/138,2019-11-18,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SİLİVRİ DEVLET HASTANESİ,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-032,37,2019-12-25,,
yikama,DMO,2019/178,2019-10-31,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,İSCEHİSAR DEVLET HASTANESİ,AFYONKARAHİSAR,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-024,56,2019-12-26,,
yikama,DMO,2019/179,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ELBİSTAN ADSM,KAHRAMANMARAŞ,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-034,78,2019-12-27,,
yikama,ÖZEL,2019/224,2019-10-17,HAZAR SU ARITMA SİSTEMLERİ,HAZAR SU ARITMA SİSTEMLERİ,İSTANBUL,GY 360,360 LT TEK KAPILI YIKAMA CİHAZI,360 LT,2019/05-036,72,2019-12-28,,
yikama,İHALE,2019/227,2019-10-22,ÇAYCUMA DEVLET HASTANESİ,ÇAYCUMA DEVLET HASTANESİ,ZONGULDAK,GY 360,360 LT TEK KAPILI YIKAMA CİHAZI,360 LT,2019/05-037,68,2019-12-29,,
yikama,DMO,2019/012 (YÜKSELİK),2019-12-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,KIRKLARELİ VİZE DEVLET HASTANESİ,KIRKLARELİ,STERİLNET 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-040,26,2019-12-30,,
yikama,İHALE,2019/231,2019-11-25,BİTLİS DEVLET HASTANESİ,BİTLİS DEVLET HASTANESİ,BİTLİS,GY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-038,36,2019-12-31,,
yikama,DMO,2019/280,2019-11-28,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,ÇANAKKALE,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-039,34,2020-01-01,,
yikama,YURTDIŞI,2019/284,2019-12-16,AL MASARA HOSPİTAL,AL MASARA HOSPİTAL,LİBYA-SURMAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-026,17,2020-01-02,,
yikama,YURTDIŞI,2019/006,2019-01-17,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD.,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD.,IRAK,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-043,121,2019-05-18,,
yikama,DMO,2019/007,2019-06-26,DMO PAZARLAMA BÖLGE MÜDÜRLÜĞÜ,BAYAT DEVLET HASTANESİ,ÇORUM,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-015,23,2019-07-19,,
yikama,DMO,2019/062,2019-02-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KONAK DİŞ HASTANESİ,İZMİR,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-001,10,2019-02-11,,
yikama,DMO,2019/015,2019-03-15,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-007,54,2019-05-08,,
yikama,DMO,2019/016,2019-02-22,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ÜSKÜDAR ADSM,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-006,54,2019-04-17,,
yikama,YURTDIŞI,2019/017,2019-05-08,ALHİKMA HOSPİTAL,ALHİKMA HOSPİTAL,LİBYA,GY 290,290 LT YIKAMA CİHAZI,290 LT,2019/05-013,43,2019-06-20,,
yikama,YURTDIŞI,2019/019,2019-02-08,"MME LLC,ALEXANDER","MME LLC,ALEXANDER",UKRAYNA,GY 290,290 LT TEK KAPILI YIKAMA CİHAZI,225 LT,2019/05-002,28,2019-03-08,,
yikama,DMO,2019/037,2019-02-15,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİLE DEVLET HASTANESİ,İSTANBUL,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-003,54,2019-04-10,,
yikama,İHALE,2019/038,2019-02-19,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,GY 400,400 LT YIKAMA DEZENFEKSİYON CİHAZI,400 LT,,51,2019-04-11,,
yikama,DMO,2019/040,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-004,28,2019-03-19,,
yikama,DMO,2019/041,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-005,28,2019-03-19,,
yikama,YURTDIŞI,2019/048,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-009,28,2019-04-18,,
yikama,YURTDIŞI,2019/049,2019-03-21,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-010,28,2019-04-18,,
yikama,DMO,2019/050,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ANDIRIN DEVLET HASTANESİ,KAHRAMANMARAŞ,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-035,64,2019-12-13,,
yikama,DMO,2019/051,2019-05-22,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN ADSM,BATMAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-018,54,2019-07-15,,
yikama,ÖZEL,2019/061,2019-05-07,ERPA ÖZEL SAĞLIK HİZMETLERİ,ERPA ÖZEL SAĞLIK HİZMETLERİ,DENİZLİ,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-012,15,2019-05-22,,
yikama,YURTDIŞI,2019/060,2019-07-09,EKVATOR,EKVATOR,EKVATOR,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-022,13,2019-07-22,,
yikama,DMO,2019/081,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-016,54,2019-07-23,,
yikama,DMO,2019/082,2019-05-30,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-017,54,2019-07-23,,
yikama,DMO,2019/084,2019-08-29,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,BOZOVA DEVLET HASTANESİ,ŞANLIURFA,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-023,54,2019-10-22,,
yikama,DMO,2019/096,2019-06-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,ANTALYA,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-019,54,2019-08-20,,
yikama,İHALE,2019/097,2019-07-04,YÜKSELİŞ HATSANE EKİPMANLARI,SANCAKTEPE ŞEHİT PROF.DR.İLHAN VARANK EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-021,11,2019-07-15,,
yikama,DMO,2019/101,2019-06-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,ANTALYA,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-020,54,2019-08-20,,
yikama,İHALE,2019/104,2019-04-27,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-011,116,2019-08-21,,
yikama,İHALE,2019/123,2019-05-14,BÜYÜKÇEKMECE ADSM,BÜYÜKÇEKMECE ADSM,İSTANBUL,GY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-014,100,2019-08-22,,
yikama,DMO,2019/136,2019-11-12,DMO VAN BÖLGE MÜDÜRLÜĞÜ,BİTLİS TATVAN DEVLET HASTANESİ,BİTLİS,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-031,41,2019-12-23,,
yikama,DMO,2019/137,2019-12-20,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,ADANA CEYHAN DEVLET HASTANESİ,ADANA,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-030,4,2019-12-24,,
yikama,DMO,2019/138,2019-11-18,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SİLİVRİ DEVLET HASTANESİ,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-032,37,2019-12-25,,
yikama,DMO,2019/178,2019-10-31,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,İSCEHİSAR DEVLET HASTANESİ,AFYONKARAHİSAR,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-024,56,2019-12-26,,
