DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2021,KURULUM YERİ /2021,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,Teslim Süresi
DMO,2020/348,2021-02-15,DMO GENEL MÜDÜRLÜĞÜ,GÜLHANE EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-026,2021-02-26 00:00:00,,11.0
DMO,2020/491,2021-02-15,DMO GENEL MÜDÜRLÜĞÜ,GÜLHANE EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-027,2021-02-26 00:00:00,,11.0
ÖZEL,2020/316,2021-02-16,TÜRKİYE FİNANS KATILIM BANKASI A.Ş.,GBL GÜL BİYOLOJİ LABORATUVAR SAN.TİC.LTD.ŞTİ.,İSTANBUL,STR 5510 S,250 LT TEK KAPILI OTOKLAV CİHAZI,250 LT,2021/01-094,2021-02-26 00:00:00,,10.0
ÖZEL,2021/039,2021-02-18,SEFERİHİSAR NECAT HEPKON DEVLET HASTANESİ,SEFERİHİSAR NECAT HEPKON DEVLET HASTANESİ,İZMİR,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-057,2021-02-22 00:00:00,,4.0
DMO,2020/377,2021-02-23,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ ÇAPA TIP FAKÜLTESİ,İSTANBUL,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-019,2021-03-05 00:00:00,,10.0
DMO,2021/040,2021-02-23,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ ÇAPA TIP FAKÜLTESİ,İSTANBUL,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-020,2021-03-05 00:00:00,,10.0
DOĞRUDAN TEMİN,2020/508,2021-02-26,BURDUR İL SAĞLIK MÜDÜRLÜĞÜ,BUCAK DEVLET HASTANESİ,BURDUR,GOLDBERG 75V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-083,2021-03-05 00:00:00,,7.0
YURTDIŞI,2021/043,2021-04-28,TME,TME,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-074,2021-05-08 00:00:00,,10.0
YURTDIŞI,2021/044,2021-06-29,TM ,TM,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-145,2021-07-12 00:00:00,,13.0
YURTDIŞI,2021/045,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-176,2021-11-25 00:00:00,,29.0
YURTDIŞI,2021/046,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-177,2021-11-25 00:00:00,,29.0
YURTDIŞI,2021/047,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-178,2021-11-25 00:00:00,,29.0
DMO,2021/049,2021-03-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SAKARYA PAMUKOVA İLÇE DEVLET HASTANESİ,SAKARYA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-021,2021-05-07 00:00:00,,64.0
DMO,2021/048,2021-08-13,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,KİLİS ADSM,KİLİS,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-024,2021-10-16 00:00:00,,64.0
DMO,2021/050,2021-04-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,CEYLANPINAR DEVLET HASTANESİ,ŞANLIURFA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-022,2021-06-09 00:00:00,,64.0
DMO,2021/051,2021-04-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,CEYLANPINAR DEVLET HASTANESİ,ŞANLIURFA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-023,2021-06-09 00:00:00,,64.0
ÖZEL,2021/052,2021-04-20,ÖZEL EGE UMUT HASTANESİ,ÖZEL EGE UMUT HASTANESİ,MANİSA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-127,2021-04-30 00:00:00,,10.0
DMO,2021/053,2021-03-31,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-044,2021-06-03 00:00:00,,64.0
DMO,2021/054,2021-02-27,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ EĞİTİM ARAŞTIRMA HASTANESİ,ANTALYA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-047,2021-07-19 00:00:00,,142.0
DMO,2021/056,2021-04-20,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY DEVLET HASTANESİ,HATAY,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-031,2021-06-18 00:00:00,,59.0
DMO,2021/057,2021-05-03,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,BURSA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-032,2021-07-01 00:00:00,,59.0
ÖZEL,2021/059,2021-05-07,ÖZEL GEBZE YÜZYIL HASTANESİ,ÖZEL GEBZE YÜZYIL HASTANESİ,KOCAELİ,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-060,2021-05-08 00:00:00,,1.0
DMO,2021/346,2021-04-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,BALIKESİR SINDIRGI DEVLET HASTANESİ,BALIKESİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-170,2021-06-11 00:00:00,,64.0
DMO,2021/234,2021-05-17,DMO GENEL MÜDÜRLÜĞÜ,KAZAN HAMDİ ERİŞ DEVLET HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-033,2021-07-20 00:00:00,,64.0
DMO,2021/013,2021-03-03,DMO GENEL MÜDÜRLÜĞÜ,MAMAK DEVLET HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-029,2021-03-10 00:00:00,,7.0
YURTDIŞI,2021/072,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-091,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/073,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-092,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/074,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-093,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/075,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-095,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/076,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-096,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/077,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-097,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/078,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-098,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/079,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-099,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/080,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-100,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/081,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-101,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/082,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-102,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/084,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-066,2021-11-25 00:00:00,,29.0
YURTDIŞI,2021/087,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-103,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/088,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-104,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/089,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-105,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/090,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-106,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/091,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-107,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/092,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-108,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/093,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-109,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/094,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-110,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/095,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-111,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/096,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-112,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/097,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-113,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/098,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-114,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/099,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-115,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/100,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-116,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/101,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-117,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/102,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-118,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/103,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-119,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/104,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-120,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/105,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-121,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/106,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-122,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/107,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-123,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/108,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-124,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/109,2021-03-13,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-125,2021-04-20 00:00:00,,38.0
YURTDIŞI,2021/110,2021-06-10,VİTTA,VİTTA,AZERBEYCAN,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-139,2021-06-17 00:00:00,,7.0
ÖZEL,2021/111,2021-06-22,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,STR 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-134,2021-07-22 00:00:00,,30.0
YURTDIŞI,2021/116,2021-11-11,MISIR,MISIR,MISIR,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-067,2021-12-04 00:00:00,,23.0
ÖZEL,2021/117,2021-03-22,MEDİKAL PARK BAHÇELİEVLER,MEDİKAL PARK BAHÇELİEVLER,İSTANBUL,STR 6613 S,550 LT TEK KAPILI OTOKLAV CİHAZI,550 LT,2021/01-126,2021-03-31 00:00:00,,9.0
YURTDIŞI,2020/308,2021-03-22,PARAGUAY,PARAGUAY,PARAGUAY,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2021/01-076,2021-04-05 00:00:00,,14.0
ÖZEL,2021/118,2021-06-24,KUZU GRUP,DÖRTYOL DEVLET HASTANESİ,HATAY,STR 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-140,2021-07-24 00:00:00,,30.0
YURTDIŞI,2021/120,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-174,2021-11-25 00:00:00,,29.0
YURTDIŞI,2021/121,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-175,2021-11-25 00:00:00,,29.0
DMO,2020/378,2021-03-23,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SİNOP GERZE DEVLET HASTANESİ,SİNOP,ERS 6610 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2021/01-018,2021-05-21 00:00:00,,59.0
DMO,2020/506,2021-03-31,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-045,2021-06-03 00:00:00,,64.0
YURTDIŞI,2020/484,2021-04-08,TARGET MED,TARGET MED,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-071,2021-04-23 00:00:00,,15.0
YURTDIŞI,2020/486,2021-04-08,TARGET MED,TARGET MED,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-072,2021-04-23 00:00:00,,15.0
YURTDIŞI,2020/488,2021-04-08,TARGET MED,TARGET MED,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-073,2021-04-23 00:00:00,,15.0
DMO,2020/505,2021-04-15,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ISPARTA SÜLEYMAN DEMİREL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,ISPARTA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-046,2021-06-13 00:00:00,,59.0
YURTDIŞI,2020/509,2021-04-28,TME,TME,MISIR,GOLDBERG 75 V,75 LT VAKUMLU DİK TİP OTOKLAV CİHAZI,75 LT,2021/01-084,2021-05-08 00:00:00,,10.0
ÖZEL,2021/163,2021-04-29,ESTELİT SAĞLIK HİZMETLERİ LTD.ŞTİ.,ESTELİT SAĞLIK HİZMETLERİ LTD.ŞTİ.,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-128,2021-06-20 00:00:00,,52.0
YURTDIŞI,2021/169,2021-10-28,IRAK,IRAK,IRAK,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-187,31.11.2021,,
YURTDIŞI,2021/171,2021-10-11,ROMANYA,ROMANYA,ROMANYA,STR 4410 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-166,2021-10-20 00:00:00,,9.0
ÖZEL,2021/172,2021-06-26,GELİŞİM ÜNİVERSİTESİ,GELİŞİM ÜNİVERSİTESİ,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-143,2021-07-25 00:00:00,,29.0
