kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparis_durumu,irsaliye_tarihi,uts_no
OKSIJEN,YURTDIŞI,2021/300,2021-08-26,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,,,2021/06-028,2021-09-15 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/301,2021-08-26,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,,,2021/06-029,2021-08-31 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/335,2021-09-16,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,,,2021/06-030,2021-09-27 00:00:00,11.0,,,
OKSIJEN,YURTDIŞI,2021/336,2021-09-16,LİBYA,LİBYA,LİBYA,OXY-GOLD 45,,,2021/06-031,2021-09-27 00:00:00,11.0,,,
OKSIJEN,YURTDIŞI,2021/337,2021-09-16,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 37,,,2021/06-032,2021-10-11 00:00:00,25.0,,,
OKSIJEN,YURTDIŞI,2021/338,2021-09-16,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 90,,,2021/06-033,2021-10-11 00:00:00,25.0,,,
OKSIJEN,YURTDIŞI,2021/339,2021-09-16,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 37,,,2021/06-034,2021-10-11 00:00:00,25.0,,,
OKSIJEN,YURTDIŞI,2021/372,2021-11-29,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 15,,,2021/06-048,2021-12-15 00:00:00,16.0,,,
OKSIJEN,YURTDIŞI,2021/380,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 37,,,2021/06-035,2021-11-15 00:00:00,18.0,,,
OKSIJEN,YURTDIŞI,2021/381,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 37,,,2021/06-036,2021-11-15 00:00:00,18.0,,,
OKSIJEN,YURTDIŞI,2021/382,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 22,,,2021/06-037,31.11.2021,20.0,,,
OKSIJEN,YURTDIŞI,2021/383,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 55,,,2021/06-038,31.11.2021,20.0,,,
OKSIJEN,YURTDIŞI,2021/384,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 75,,,2021/06-039,31.11.2021,20.0,,,
OKSIJEN,YURTDIŞI,2021/438,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 45,,,2021/06-009,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/439,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 22,,,2021/06-040,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/440,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 22,,,2021/06-041,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/441,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 22,,,2021/06-042,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/442,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 30,,,2021/06-043,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/444,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 55,,,2021/06-045,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/445,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 55,,,2021/06-046,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/446,2021-11-26,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 55,,,2021/06-047,2021-12-15 00:00:00,19.0,,,
OKSIJEN,YURTDIŞI,2021/447,2021-11-30,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,,,2021/06-049,2021-12-10 00:00:00,10.0,,,
OKSIJEN,YURTDIŞI,2021/453,2021-12-07,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 7,,,2021/06-050,2021-12-30 00:00:00,23.0,,,
OKSIJEN,YURTDIŞI,2021/457,2021-12-13,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 45,,,2021/06-051,2021-12-30 00:00:00,17.0,,,
OKSIJEN,YURTDIŞI,2021/458,2021-12-18,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 45,,,2021/06-052,2021-12-30 00:00:00,12.0,,,
OKSIJEN,YURTDIŞI,2021/459,2021-12-18,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 45,,,2021/06-053,2021-12-30 00:00:00,12.0,,,
OKSIJEN,YURTDIŞI,2021/462,2021-12-22,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,,,2021/06-054,2022-01-15 00:00:00,24.0,,,
OKSIJEN,YURTDIŞI,2021/463,2021-12-22,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,,,2021/06-055,2022-01-15 00:00:00,24.0,,,
OKSIJEN,YURTDIŞI,2021/464,2021-12-22,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,,,2021/06-044,2022-01-15 00:00:00,24.0,,,
OKSIJEN,YURTDIŞI,2022/153,2022-02-02,DUTCH,LİBERYA,LİBERYA,GOLDBERG 45 V,45 OKSİJEN ÜRETİM SİSTEMİ,,2022/06-003,206,2022-08-27,,,
OKSIJEN,ÖZEL,2022/160,2022-02-02,BİOKAN SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.,BİOKAN SAĞLIK ÜRÜNLERİ SAN. VE TİC.A.Ş.,KAYSERİ,STR 22 V,22 OKSİJEN ÜRETİM SİSTEMİ,,2022/06-002,176,2022-07-28,,,
OKSIJEN,YURTDIŞI,2022/364,2022-02-02,IRAK,IRAK,IRAK,GOLDBERG 22 V,22 OKSİJEN ÜRETİM SİSTEMİ,,2022/06-006,267,2022-10-27,,,
OKSIJEN,YURTDIŞI,2022/153,2022-02-02,DUTCH,LİBERYA,LİBERYA,GOLDBERG 45 V,45 OKSİJEN ÜRETİM SİSTEMİ,,2022/06-003,206,2022-08-27,,,
OKSIJEN,ÖZEL,2022/160,2022-02-02,BİOKAN SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.,BİOKAN SAĞLIK ÜRÜNLERİ SAN. VE TİC.A.Ş.,KAYSERİ,STR 22 V,22 OKSİJEN ÜRETİM SİSTEMİ,,2022/06-002,176,2022-07-28,,,
OKSIJEN,YURTDIŞI,2022/364,2022-02-02,IRAK,IRAK,IRAK,GOLDBERG 22 V,22 OKSİJEN ÜRETİM SİSTEMİ,,2022/06-006,267,2022-10-27,,,
OKSIJEN,YURTDIŞI,2022/156,2024-02-27,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,OXY-GOLD 37 OKSİJEN ÜRETİM  VE DEPOLAMA SİSTEMİ,,2024/06-001,60 gün,2024-03-11,,,8697613312181.0
OKSIJEN,YURTDIŞI,2022/161,2022-03-03,STOK,STOK,STOK,OXY-GOLD 30,OXY-GOLD 30 OKSİJEN ÜRETİM  VE DEPOLAMA SİSTEMİ,,2024/06-003,60 gün,2024-03-12,,,8697613312174.0
OKSIJEN,YURTDIŞI,2022/163,2024-06-11,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 30,OXY-GOLD 30 OKSİJEN ÜRETİM  VE DEPOLAMA SİSTEMİ,,2024/06-005,60 gün,2024-06-13,,,8697613312174.0
OKSIJEN,YURTDIŞI,2024/283,2024-09-25,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,OXY-GOLD 37 OKSİJEN ÜRETİM  VE DEPOLAMA SİSTEMİ,,2024/06-006,60 gün,2024-10-13,,,
