kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi
REVERSE OSMOS ,SATIŞ,2020/365,9.10.2020,İSTANBUL ÜNİVERSİTESİ ÇAPA TIP FAKÜLTESİ,İSTANBUL ÜNİVERSİTESİ ÇAPA TIP FAKÜLTESİ,İSTANBUL,PREMIUM 2340,,750 LT,2020/08-027,11,20.10.2020
REVERSE OSMOS ,SATIŞ,2020/366,13.10.2020,RADON TIBBİ MALZEMELER İTH.İHR.TİC.LTD.ŞTİ.,RADON TIBBİ MALZEMELER İTH.İHR.TİC.LTD.ŞTİ.,ANKARA,PREMİUM 140,,250 LT/SAAT,2020/08-028,7,20.10.2020
REVERSE OSMOS ,SATIŞ,2020/393,20.10.2020,ERC ESTETİK,ERC ESTETİK,İSTANBUL,PREMIUM 250,,250 LT/SAAT,2020/08-029,20,9.11.2020
REVERSE OSMOS ,ÖZEL,2020/397,2.11.2020,KAPADOKYA ÜNİVERSİTESİ,KAPADOKYA ÜNİVERSİTESİ,NEVŞEHİR,PREMİUM 840,,2000 LT/SAAT,2020/08-030,2,4.11.2020
REVERSE OSMOS ,ÖZEL,2020/407,6.11.2020,BULGARİSTAN,BULGARİSTAN,BULGARİSTAN,PREMİUM 140,,250 LT/SAAT,2020/08-031,20,26.11.2020
REVERSE OSMOS ,ÖZEL,2020/483,16.11.2020,ÖZEL VATAN HASTANESİ,ÖZEL VATAN HASTANESİ,KAHRAMANMARAŞ,PREMIUM 340,,750 LT,2020/08-032,14,30.11.2020
REVERSE OSMOS ,YURTDIŞI,,1.10.2020,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 LT,2020/08-033,61,1.12.2020
REVERSE OSMOS ,YURTDIŞI,,1.10.2020,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 LT,2020/08-034,62,2.12.2020
REVERSE OSMOS ,YURTDIŞI,,23.11.2020,GANA,GANA,GANA,PREMIUM 340,,750 LT,2020/08-035,10,3.12.2020
REVERSE OSMOS ,YURTDIŞI,2020/493,7.12.2020,ETKİN TIBBİ CİHAZLAR,SLOVAKYA,SLOVAKYA,PREMIUM 240,,500 LT,2020/08-036,5,12.12.2020
REVERSE OSMOS ,YURTDIŞI,2020/494,7.12.2020,ETKİN TIBBİ CİHAZLAR,SLOVAKYA,SLOVAKYA,PREMIUM 240,,500 LT,2020/08-037,5,12.12.2020
REVERSE OSMOS ,YURTDIŞI,2020/510,24.12.2020,AFRİCAN RELİEF COMİTTEE,SOMALİ,SOMALİ,PREMIUM 440,,1000 LT,2020/08-038,-1,23.12.2020
REVERSE OSMOS ,YURTDIŞI,2020/511,24.12.2020,AFRİCAN RELİEF COMİTTEE,SOMALİ,SOMALİ,PREMIUM 440,,1000 LT,2020/08-039,0,24.12.2020
REVERSE OSMOS ,YURTDIŞI,2020/512,24.12.2020,AFRİCAN RELİEF COMİTTEE,SOMALİ,SOMALİ,PREMIUM 440,,1000 LT,2020/08-040,1,25.12.2020
REVERSE OSMOS ,ÖZEL,2021/002,28.12.2020,KARA MEHMET MERMER SAN.LTD.ŞTİ.,İSCEHİSAR DEVLET HASTANESİ,AFYONKARAHİSAR,PREMIUM 140,,250 lt/saat,2021/08-001,16,13.01.2021
REVERSE OSMOS ,ÖZEL,2021/010,4.01.2021,ÖZEL FLORYA HASTANESİ,ÖZEL FLORYA HASTANESİ,İSTANBUL,PREMIUM 140,,250 lt/saat,2021/08-002,1,5.01.2021
REVERSE OSMOS ,YURTDIŞI,2021/034,5.01.2021,MEDİCAL PARTNER CHİLE EQUİPES MEDİCOS,MEDİCAL PARTNER CHİLE EQUİPES MEDİCOS,,PREMİUM 340,,750 lt/saat,2021/08-003,3,8.01.2021
REVERSE OSMOS ,ÖZEL,2021/127,22.03.2021,ETA 21 İNŞAAT ELEKTRİK,JİYAN HOSPİTAL,DİYARBAKIR,PREMIUM 340,,750 lt/saat,2021/08-004,14,5.04.2021
REVERSE OSMOS ,ÖZEL,2021/162,29.04.2021,ESTELİT SAĞLIK HİZMETLERİ LTD.ŞTİ.,ESTELİT SAĞLIK HİZMETLERİ LTD.ŞTİ.,İSTANBUL,PREMIUM 140,,250 lt/saat,2021/08-005,52,20.06.2021
REVERSE OSMOS ,HİBE,2021/183,28.05.2021,BOZÜYÜK DEVLET HASTANESİ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,PREMİUM 340,,750 lt/saat,2021/08-006,7,4.06.2021
REVERSE OSMOS ,ÖZEL,2021/217,4.06.2021,MEDİGRUP EĞİTİM DANIŞMANLIK,MEDİGRUP EĞİTİM DANIŞMANLIK,İSTANBUL,PREMIUM 140,,250 lt/saat,2021/08-007,6,10.06.2021
REVERSE OSMOS ,ÖZEL,2021/222,10.06.2021,KENT ÜNİVERSİTESİ,KENT ÜNİVERSİTESİ,İSTANBUL,PREMIUM 240,,500 lt/saat,2021/08-008,31,11.07.2021
REVERSE OSMOS ,YURTDIŞI,2021/225,10.06.2021,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,PREMİUM 340,,750 lt/saat,2021/08-009,21,1.07.2021
REVERSE OSMOS ,DOĞRUDAN TEMİN,2021/253,8.07.2021,HAMDİ ERİŞ KAZAN DEVLET HASTANESİ,HAMDİ ERİŞ KAZAN DEVLET HASTANESİ,ANKARA,PREMİUM 340,,750 lt/saat,2021/08-010,7,15.07.2021
REVERSE OSMOS ,MAL FAZLASI,2021/283,18.08.2021,AFYON SİNANPAŞA DEVLET HASTANESİ,AFYON SİNANPAŞA DEVLET HASTANESİ,AFYONKARAHİSAR,PREMİUM 140,,250 lt/saat,2021/08-011,31,18.09.2021
REVERSE OSMOS ,YURTDIŞI,2021/341,28.09.2021,IRAK,IRAK,IRAK,PREMİUM 240,,500 lt/saat,2021/08-012,3,1.10.2021
REVERSE OSMOS ,YURTDIŞI,2021/342,28.09.2021,IRAK,IRAK,IRAK,PREMİUM 240,,500 lt/saat,2021/08-013,3,1.10.2021
REVERSE OSMOS ,YURTDIŞI,2021/343,28.09.2021,IRAK,IRAK,IRAK,PREMİUM 240,,500 lt/saat,2021/08-014,17,15.10.2021
REVERSE OSMOS ,ÖZEL,2021/364,7.10.2021,İSTANBUL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,PREMİUM 240,,500 lt/saat,2021/08-015,8,15.10.2021
REVERSE OSMOS ,ÖZEL,2021/366,12.10.2021,ORDEM YAPI İTH.İHR.TİC.LTD.ŞTİ.,TRAKYA ÜNİVERSİTESİ,EDİRNE,PREMİUM 640,,1800 lt/saat,2021/08-016,30,11.11.2021
REVERSE OSMOS ,YURTDIŞI,2021/374,25.10.2021,ROMANYA,ROMANYA,ROMANYA,PREMIUM 140,,250 lt/saat,2021/08-017,26,20.11.2021
REVERSE OSMOS ,YURTDIŞI,2021/377,3.11.2021,IRAK,IRAK,IRAK,PREMIUM 440,,1000 lt/saat,2021/08-018,27,30.11.2021
REVERSE OSMOS ,ÖZEL,2021/378,26.10.2021,BAŞKENT HİTİT MEDİKAL,BAŞKENT HİTİT MEDİKAL,KASTAMONU,PREMİUM 240,,500 lt/saat,2021/08-019,2,28.10.2021
REVERSE OSMOS ,YURTDIŞI,2021/395,8.11.2021,DWECK INDUSTRIES LTD.,DWECK INDUSTRIES LTD.,KENYA,DOUBLE PASS 6440,,,2021/08-020,8,16.11.2021
REVERSE OSMOS ,YURTDIŞI,2021/396,8.11.2021,DWECK INDUSTRIES LTD.,DWECK INDUSTRIES LTD.,KENYA,ADB 1800,,,2021/08-021,8,16.11.2021
REVERSE OSMOS ,HİBE,2021/268,16.11.2021,İSTANBUL FİZİK TEDAVİ REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL FİZİK TEDAVİ REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,PREMIUM 440,,1000 lt/saat,2021/08-022,60,15.01.2022
REVERSE OSMOS ,HİBE,2021/122,18.11.2021,İZMİR KARABAĞLAR BELEDİYESİ,İZMİR KARABAĞLAR BELEDİYESİ,İZMİR,PREMİUM 140,,250 lt/saat,2021/08-023,30,18.12.2021
REVERSE OSMOS ,YURTDIŞI,2021/436,23.11.2021,CEZAYİR,CEZAYİR,CEZAYİR,PREMİUM 140,,250 lt/saat,2021/08-024,38,31.12.2021
REVERSE OSMOS ,YURTDIŞI,2021/467,29.12.2021,NİGERİA,NİGERİA,NİGERİA,PREMİUM 140,,250 lt/saat,2021/08-025,23,21.01.2022
REVERSE OSMOS ,YURTDIŞI,2022/102,24.01.2022,IRAK TKMS,IRAK TKMS,IRAK,ULTIMATE 480,,4000 lt/ saat,2022/08-001,7,31.01.2022
REVERSE OSMOS ,YURTDIŞI,2022/103,24.01.2022,IRAK TKMS,IRAK TKMS,IRAK,ULTIMATE 580,,5000 lt/ saat,2022/08-002,7,31.01.2022
REVERSE OSMOS ,YURTDIŞI,2022/104,24.01.2022,IRAK TKMS,IRAK TKMS,IRAK,ULTIMATE 880,,8000 lt/ saat,2022/08-003,7,31.01.2022
REVERSE OSMOS ,YURTDIŞI,2022/117,7.02.2022,AYAD ALİ,UNDP IRAK,IRAK,ULTIMATE 880,,8000 lt/ saat,2022/08-004,7,14.02.2022
REVERSE OSMOS ,YURTDIŞI,2022/118,7.02.2022,AYAD ALİ,UNDP IRAK,IRAK,ULTIMATE 880,,8000 lt/ saat,2022/08-005,7,14.02.2022
REVERSE OSMOS ,YURTDIŞI,2022/119,9.02.2022,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 lt/saat,2022/08-006,19,28.02.2022
REVERSE OSMOS ,YURTDIŞI,2022/120,10.02.2022,IRAK TKMS,IRAK TKMS,IRAK,ULTIMATE 380,,3000 lt/ saat,2022/08-007,28,10.03.2022
REVERSE OSMOS ,YURTDIŞI,2022/121,10.02.2022,IRAK TKMS,IRAK TKMS,IRAK,ULTIMATE 480,,4000 lt/ saat,2022/08-008,28,10.03.2022
REVERSE OSMOS ,YURTDIŞI,2022/122,10.02.2022,IRAK TKMS,IRAK TKMS,IRAK,ULTIMATE 580,,5000 lt/ saat,2022/08-009,28,10.03.2022
REVERSE OSMOS ,YURTDIŞI,2022/123,10.02.2022,IRAK TKMS,IRAK TKMS,IRAK,PREMIUM 340,,750 lt/saat,2022/08-010,28,10.03.2022
REVERSE OSMOS ,YURTDIŞI,2022/124,10.02.2022,IRAK TKMS,IRAK TKMS,IRAK,PREMIUM 440,,1000 lt/saat,2022/08-011,28,10.03.2022
REVERSE OSMOS ,ÖZEL,2022/137,2.03.2022,HAIR TRANSPLANT,İSTANBUL,İSTANBUL,PREMİUM 140,,250 LT/SAAT,2022/08-012,30,1.04.2022
REVERSE OSMOS ,ÖZEL,2022/183,3.03.2022,19 MAYIS DEVLET HASTANESİ,SAMSUN,SAMSUN,PREMİUM 140,,250 LT/SAAT,2022/08-013,30,2.04.2022
REVERSE OSMOS ,ÖZEL,2022/185,22.03.2022,BOZÜYÜK AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,BOZÜYÜK,BİLECİK,PREMİUM 140,,300 LT/SAAT,2022/08-014,12,3.04.2022
REVERSE OSMOS ,YURTDIŞI,2022/186,29.03.2022,IRAK,IRAK,IRAK,PREMIUM 240,,500 LT/SAAT,2022/08-015,6,4.04.2022
REVERSE OSMOS ,ÖZEL,2022/189,7.04.2022,PRUVA SAĞLIK ÜRÜNLERİ İTC. LTD. ŞTİ.,RİZE ÜNİVERSİTESİ,RİZE,PREMIUM 240,,500 LT/SAAT,2022/08-016,28,5.05.2022
REVERSE OSMOS ,ÖZEL,2022/190,26.04.2022,Medigroup Eğitim Danışmanlık Sanayi Ticaret Limited Şirketi,Medigroup Eğitim Danışmanlık Sanayi Ticaret Limited Şirketi,İSTANBUL,PREMIUM 240,,500 LT/SAAT,2022/08-017,41,6.06.2022
REVERSE OSMOS ,YURTDIŞI,2022/203,18.05.2022,SMART MED,LİBYA,LİBYA,PREMİUM 140,,250 LT/SAAT,2022/08-018,20,7.06.2022
REVERSE OSMOS ,YURTDIŞI,2022/204,13.04.2022,KONGO,KONGO,KONGO,PREMİUM 140,,250 LT/SAAT,2022/08-019,21,4.05.2022
REVERSE OSMOS ,İHALE,2022/225,27.04.2022,GİRESUN ÜNİVERSİTESİ,GİRESUN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,GRESUN,PREMİUM 440,,1000 LT/SAAT,2022/08-020,180,24.10.2022
REVERSE OSMOS ,İHALE,2022/226,11.11.2022,PAŞA DENTAL TIBBİ CİHAZLAR MALZEME SAN VE TİC. A.Ş.,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,BİLECİK,PREMİUM 440,,1000 LT/SAAT,2022/08-021,28,9.12.2022
REVERSE OSMOS ,DT,2022/227,28.04.2022,HATAY ARSUZ DEVLET HASTANESİ,HATAY ARSUZ DEVLET HASTANESİ,HATAY,PREMİUM 240,,500 LT/SAAT,2022/08-022,226,10.12.2022
REVERSE OSMOS ,DT,2022/228,28.04.2022,SAMSUN KAVAK DH,SAMSUN KAVAK DH,SAMSUN,PREMİUM 140,,250 LT/SAAT,2022/08-023,20,18.05.2022
REVERSE OSMOS ,İHALE,2022/303,18.07.2022,HARRAN ÜNİVERSİTESİ,HARRAN ÜNİVERSİTESİ- DİŞ HEKİMLİĞİ FAKÜLTESİ,ŞANLIURFA, PREMİUM 440,,1000 LT/SAAT,2022/08-024,60,16.09.2022
REVERSE OSMOS ,ÖZEL,2022/230,10.05.2022,ASZ KİMYA LTD. ŞTİ.,DİYARBAKIR ÖZEL DÜNYA HASTANESİ,DİYARBAKIR,PREMİUM 140,,250 LT/SAAT,2022/08-025,17,27.05.2022
REVERSE OSMOS ,YURTDIŞI,2022/327,10.08.2022,IRAK/TKMS,IRAK,IRAK,PREMIUM 640,,1500 LT/SAAT,2022/08-026,21,31.08.2022
REVERSE OSMOS ,YURTDIŞI,2022/332,3.09.2022,GANA,GANA,GANA,PREMİUM 340,,750 LT/SAAT,2022/08-027,-2,1.09.2022
REVERSE OSMOS ,YURTDIŞI,2022/285,18.06.2022,NICU,ROMANYA,ROMANYA,PREMİUM 240,,500 LT/SAAT,2022/08-028,24,12.07.2022
REVERSE OSMOS ,ÖZEL,2022/300,28.06.2022,STN MAKİNA TİC. LTD. ŞTİ.,STN MAKİNA,ANKARA,PREMIUN 240,,500 LT/SAAT,2022/08-029,22,20.07.2022
REVERSE OSMOS ,ÖZEL,2022/301,28.06.2022,IRAK/MERİVAN,IRAK,IRAK,PREMİUM 140,,250 LT/SAAT,2022/08-030,22,20.07.2022
REVERSE OSMOS ,YURTDIŞI,2022/316,10.08.2022,IRAK/TKMS,IRAK,IRAK,ULTİMATE 480,,4000 LT/SAAT,2022/08-031,21,31.08.2022
REVERSE OSMOS ,YURTDIŞI,2022/317,10.08.2022,IRAK/TKMS,IRAK,IRAK,ULTIMATE 580,,5000 LT/SAAT,2022/08-032,21,31.08.2022
REVERSE OSMOS ,YURTDIŞI,2022/318,10.08.2022,IRAK/TKMS,IRAK,IRAK,PREMIUM 640,,1500 LT/SAAT,2022/08-033,21,31.08.2022
REVERSE OSMOS ,ÖZEL,2022/339,12.09.2022,METİN SABANCI BALTALİMANI KEMİK HASTALIKLARI EĞİTİM VE ARAŞTIRMA HASTANESİ,METİN SABANCI BALTALİMANI KEMİK HASTALIKLARI EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,PREMİUM 340,,750 LT/SAAT,2022/08-034,30,12.10.2022
REVERSE OSMOS ,ÖZEL,2022/360,23.09.2022,EYNEL MEDİKAL DİŞ DEPOSU,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,BURDUR,PREMİUM 340,,750 LT/SAAT,2022/08-035,17,10.10.2022
REVERSE OSMOS ,ÖZEL,2022/361,26.09.2022,TAKSİM EĞİTİM VE ARAŞTIRMA HASTANESİ,TAKSİM EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,PREMİUM 340,,750 LT/SAAT,2022/08-036,-9,17.09.2022
