kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparis_durumu,irsaliye_tarihi
HIDROJEN PEROKSIT,DMO,2018/113,2018-07-24 00:00:00,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,FİNİKE DEVLET HASTANESİ,ANTALYA,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-007,61 GÜN,,,
HIDROJEN PEROKSIT,DMO-YÜKSELİŞ,2018/171,,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MERKEZ EFENDİ DEVLET HASTANESİ,manisa,TKF 120,120 LT ÇİFT KAPI PLAZMA CİHAZI,120 LT,2018/04-004,62 GÜN,,,
HIDROJEN PEROKSIT,DMO,2018/182,2018-06-18 00:00:00,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-005,55 GÜN,2018-08-11,,
HIDROJEN PEROKSIT,İHALE,2018/217,2018-10-02 00:00:00,KİLİS İL SAĞLIK MÜDÜRLÜĞÜ,ÇOBANBEY DEVLET HASTANESİ,SURİYE,TSP 80,80 LT PLAZMA CİHAZI,80 LT,2018/04-013,15 GÜN,2018-10-17,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/341,2018-12-06 00:00:00,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD.,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD.,IRAK,TSP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-016,30 GÜN,,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/304,2018-10-04 00:00:00,MED STANDART,MED STANDART,UKRAYNA,TSP 120,120 LT ÇİFT KAPI PLAZMA CİHAZI,120 LT,2018/04-012,31 GÜN,,,
HIDROJEN PEROKSIT,ÖZEL,2018/219,2018-12-24 00:00:00,A HOSPİTAL SAĞLIK HİZM.TİC.LTD.ŞTİ.,A HOSPİTAL SAĞLIK HİZM.TİC.LTD.ŞTİ.,İSTANBUL,TSP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-017,15 GÜN,2019-01-07,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/018,2019-02-08,"MME LLC,ALEXANDER","MME LLC,ALEXANDER",UKRAYNA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-001,28,2019-03-08,,
HIDROJEN PEROKSIT,DMO,2019/039,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-002,28,2019-03-19,,
HIDROJEN PEROKSIT,ÖZEL,,2019-03-22,LÖSENTE,BİTLİS DEVLET HASTANESİ,ANKARA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-003,29,2019-04-20,,
HIDROJEN PEROKSIT,ÖZEL,2019/073,2019-03-26,ALYANS MEDİKAL,ALYANS MEDİKAL,AZERBEYCAN,TSP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-004,20,2019-04-15,,
HIDROJEN PEROKSIT,ÖZEL,2019/128,2019-03-26,ALYANS MEDİKAL,ALYANS MEDİKAL,AZERBEYCAN,TSP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-009,21,2019-04-16,,
HIDROJEN PEROKSIT,DMO,2019/075,2019-11-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ŞANLIURFA EĞİTİM VE ARAŞTIRMA HASTANESİ,ŞANLIURFA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-005,11,2019-11-17,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/076,2019-07-09,EKVATOR,EKVATOR,EKVATOR,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-014,132,2019-11-18,,
HIDROJEN PEROKSIT,DMO,2019/114,2019-05-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA MİLAS 75.YIL DEVLET HASTANESİ,MUĞLA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-007,54,2019-07-01,,
HIDROJEN PEROKSIT,DMO,2019/119,2019-05-13,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BİLECİK DEVLET HASTANESİ,BİLECİK,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-008,49,2019-07-01,,
HIDROJEN PEROKSIT,DMO,2019/116,2019-07-09,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DEVLET HASTANESİ,DİYARBAKIR,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-011,24,2019-08-02,,
HIDROJEN PEROKSIT,ÖZEL,2019/124,2019-05-14,DTH SAĞLIK HİZMETLERİ A.Ş.,ANKARA ABDURRAHMAN YURTASLAN ONKOLOJİ EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,TSP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-006,50,2019-07-03,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/164,2019-09-19,M-TECH LTD,M-TECH LTD,GÜRCİSTAN,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-010,46,2019-11-04,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/336,2019-12-25,TECHNOLOGY KEEPER GROUP LTDA,TECHNOLOGY KEEPER GROUP LTDA,BOLİVİA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-018,-111,2019-09-05,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/041,2020-02-03,MED İNSPİRE TEKNOLOGİES,MED İNSPİRE TEKNOLOGİES,ÖZBEKİSTAN,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-025,29,2020-03-03,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/149,2020-02-21,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,,28,2020-03-20,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/345,2020-03-17,AL AZHER PRİVATE HOSPİTAL,AL AZHER PRİVATE HOSPİTAL,IRAK,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-026,30,2020-04-16,,
HIDROJEN PEROKSIT,DMO,2019/348,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-033,11,2020-05-10,,
HIDROJEN PEROKSIT,DMO,2019/349,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-034,11,2020-05-10,,
HIDROJEN PEROKSIT,DMO,2020/065,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-035,11,2020-05-10,,
HIDROJEN PEROKSIT,DMO,2020/169,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-036,11,2020-05-10,,
HIDROJEN PEROKSIT,DMO,2020/072,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE SAHRA HASTANESİ,İSTANBUL,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-037,11,2020-05-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/121,2020-03-03,ZARMED HOSPİTAL,ZARMED HOSPİTAL,ÖZBEKİSTAN,GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-038,68,2020-05-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/346,2020-06-08,ARCANS,ARCANS,ÖZBEKİSTAN,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-027,22,2020-06-30,,
HIDROJEN PEROKSIT,DMO,2020/264,2020-06-26,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN VEZİRKÖPRÜ DEVLET HASTANESİ,SAMSUN,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-039,59,2020-08-24,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/140,2020-07-04,NİCU,NİCU,ROMANYA,GP 160 S,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2019/04-013,32,2020-08-05,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/290,2020-07-04,NİCU,NİCU,ROMANYA,GP 200 D,200 LT ÇİFT KAPILI PLAZMA CİHAZI,200 LT,2019/04-023,32,2020-08-05,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/299,2020-08-05,"MME,LLC","MME,LLC",UKRAYNA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-021,30,2020-09-04,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/330,2020-09-21,ROHİT SURGİCAL,ROHİT SURGİCAL,HİNDİSTAN,GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,135 LT,2020/04-001,12,2020-10-03,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/331,2020-09-21,ROHİT SURGİCAL,ROHİT SURGİCAL,HİNDİSTAN,GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,135 LT,2020/04-002,12,2020-10-03,,
HIDROJEN PEROKSIT,DMO,2020/343,2020-09-21,DMO GENEL MÜDÜRLÜĞÜ,KIBRIS PANDEMİ HASTANESİ,KIBRIS,GP 80,80 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,80 LT,2019/04-028,11,2020-10-02,,
HIDROJEN PEROKSIT,DMO,2020/344,2020-09-25,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,İSLAHİYE DEVLET HASTANESİ,GAZİANTEP,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-016,64,2020-11-28,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/406,2020-12-24,AFRİCAN RELİEF COMİTTEE,AFRİCAN RELİEF COMİTTEE,SOMALİLAND,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-031,6,2020-12-30,,
HIDROJEN PEROKSIT,ÖZEL,2019/343,2020-12-03,CAN KAPTAN GEMİ İNŞ.,CAN KAPTAN GEMİ İNŞ.,YALOVA,TSP 160,160 LT ÇİFT  KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2019/04-024,2,2020-12-05,,
HIDROJEN PEROKSIT,DMO,2020/492,2020-11-27,DMO GENEL MÜDÜRLÜĞÜ,ANKARA MESLEKİ VE ÇEVRESEL HASTALIKLAR HASTANESİ,ANKARA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-032,59,2021-01-25,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/120,2020-12-17,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-014,13,2020-12-30,,
HIDROJEN PEROKSIT,ÖZEL,2020/148,2020-12-07,KUVEYT TURK KATLIM BANKASI A.Ş.,ÖZEL VATAN HASTANESİ,KAHRAMANMARAŞ,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2019/04-012,13,2020-12-20,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/411,2021-01-13,CHALBI INDUSTRIES LTD.,CHALBI INDUSTRIES LTD.,KENYA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-029,15,2021-01-28 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/342,2021-01-14,HEENT INSTITUTE PVT LTD.,HEENT INSTITUTE PVT LTD.,ZIMBABWE,GP 120 D,120 LT ÇİFT KAPILI PLAZMA CİHAZI,120 LT,2019/04-014,14,2021-01-28 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/165,2021-02-02,DMO GENEL MÜDÜRLÜĞÜ,ATATÜRK GÖĞÜS HASTALIKLARI HASTANESİ,ANKARA,GP 120 ,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2019/04-030,0,2021-02-02 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/018,2021-03-19,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,ARDAHAN DEVLET HASTANESİ,ARDAHAN,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-005,59,2021-05-17 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/019,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GP 120 ,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-002,37,2021-03-21 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/149,2021-02-21,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-001,29,2021-03-22 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/240,2021-02-25,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-016,13,2021-03-10 00:00:00,,
HIDROJEN PEROKSIT,ÖZEL,2021/055,2021-03-22,ETA 21 İNŞAAT ELEKTRİK,ETA 21 İNŞAAT ELEKTRİK,DİYARBAKIR,TSP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-006,14,2021-04-05 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/342,2021-03-12,OLIVER TREE,OLIVER TREE,LÜBNAN,GP 160 D,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT CİHAZI,160 LT,2021/04-004,10,2021-03-22 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/160,2021-04-19,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-007,64,2021-06-22 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/141,2021-04-22,ELCOM MÜHENDİSLİK,ELCOM MÜHENDİSLİK,,GP 160 ,160 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,160 LT,2021/04-008,22,2021-05-14 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/017,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-021,30,31.11.2021,,
HIDROJEN PEROKSIT,DMO,2021/166,2021-05-07,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,DOĞUBEYAZIT DEVLET HASTANESİ,AĞRI,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-009,64,2021-07-10 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/167,2021-05-07,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,PATNOS DEVLET HASTANESİ,AĞRI,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-010,64,2021-07-10 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/168,2021-05-17,DMO GENEL MÜDÜRLÜĞÜ,KAZAN HAMDİ ERİŞ DEVLET HASTANESİ,ANKARA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-011,64,2021-07-20 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/219,2021-06-05,NASİRİYAH,NASİRİYAH,IRAK,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-012,25,2021-06-30 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/224,2021-06-10,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-013,21,2021-07-01 00:00:00,,
HIDROJEN PEROKSIT,ÖZEL,2021/237,2021-06-22,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-014,30,2021-07-22 00:00:00,,
HIDROJEN PEROKSIT,ÖZEL,2021/238,2021-06-24,KUZU GRUP,HATAY DÖRTYOL DEVLET HASTANESİ,HATAY,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-015,30,2021-07-24 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/042,2021-07-01,VİETNAM,VİETNAM,VİETNAM,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-003,2,2021-07-03 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2020/318,2021-08-04,"MME, LLC",UKRAYNA,UKRAYNA,GP 160 ,160 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,160 LT,2021/04-017,16,2021-08-20 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/279,2021-08-16,"MME, LLC",UKRAYNA,UKRAYNA,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-018,4,2021-08-20 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/323,2021-10-08,DMO GENEL MÜDÜRLÜĞÜ,K.K.T.C.,KIBRIS,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-020,24,2021-11-01 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/334,2021-09-10,ROMANYA,ROMANYA,ROMANYA,GP 200 D,200 LT ÇİFT KAPILI PLAZMA CİHAZI,200 LT,2021/04-019,35,2021-10-15 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2019/344,2021-11-01,VİETNAM,VİETNAM,VİETNAM,GP 160,160 LT ÇİFT KAPILI PLAZMA CİHAZI,160 LT,2021/04-022,9,2021-11-10 00:00:00,,
HIDROJEN PEROKSIT,YURTDIŞI,2021/386,2021-11-03,IRAK,IRAK,IRAK,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-023,27,2021-11-30 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/399,2021-11-19,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SAKARYA TOYOTASA ACİL YARDIM HASTANESİ,SAKARYA,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-025,63,2022-01-21 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/403,2021-11-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY SAMANDAĞ DEVLET HASTANESİ,HATAY,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2021/04-024,64,2022-01-13 00:00:00,,
HIDROJEN PEROKSIT,DMO,2021/448,2021-12-09,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2021/04-026,64,2022-02-11 00:00:00,,
HIDROJEN PEROKSIT,ÖZEL,2022/076,2022-08-25,ÇANAKKALE İL SAĞLIK MÜDÜRLÜĞÜ,ÇANAKKALE MEHMET AKİF ERSOY DEVLET HASTANESİ,ÇANAKKALE,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-005,11,2022-09-05,,
HIDROJEN PEROKSIT,ÖZEL,2022/077,2022-05-10,ASZ KİMYA TİC. LTD. ŞTİ.,DİYARBAKIR ÖZEL DÜNYA HASTANESİ,DİYARBAKIR,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-007,17,2022-05-27,,
HIDROJEN PEROKSIT,ÖZEL,2022/078,2022-01-06,AAS SAĞLIK VE GÜZELLİK HİZM. A.Ş.,SULE HAİRTRANSPLANT,İSTANBUL,GP120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-001,142,2022-05-28,,
HIDROJEN PEROKSIT,DMO,2022/079,2022-04-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA İL SAĞLIK MÜDÜRLÜĞÜ,MALATYA,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-004,60,2022-06-03,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/080,2022-01-06,MERİVAN,IRAK,IRAK,GP120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-002,60,2022-03-07,,
HIDROJEN PEROKSIT,DMO,2022/166,2022-04-13,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA İL SAĞLIK MÜDÜRLÜĞÜ - BODRUM DEVLET HASTANESİ,MUĞLA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2022/04-006,65,2022-06-17,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/168,2022-10-12,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2022/04-019,5,2022-10-17,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/175,2022-06-18,NICU,ROMANYA,ROMANYA,GP 135 D,135 LT ÇİFT KAPILI PLAZMA CİHAZI,135 LT,2022/04-012,122,2022-10-18,,
HIDROJEN PEROKSIT,ÖZEL,2022/176,2023-04-27,MNR MEDİKAL,ŞANLIURFA EĞİTİM VE ARAŞTIRMA HASTANESİ,ŞANLIURFA,GP 135 S,135 LT  TEK KAPILI PLAZMA CİHAZI,135 LT,2022/04-024,31,2023-05-28,,
HIDROJEN PEROKSIT,ÖZEL,2022/232,2022-05-12,YELKEN ÖZEL EĞİTİM TIBBİ MALZEME TİC. A.Ş.,BATMAN BATIGÖZ HASTANESİ,BATMAN,GP 120,120 LT ÇİFT KAYAR KAPILI PLAZMA CİHAZI,120 LT,2022/04-008,30,2022-06-11,,
HIDROJEN PEROKSIT,DMO,2022/233,2022-05-11,DMO,GAZİ ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,ANKARA,GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-009,60,2022-07-10,,
HIDROJEN PEROKSIT,DMO,2022/234,2022-05-11,DMO,GAZİ ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ,ANKARA,GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-010,60,2022-07-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/241,2022-06-08,KONGO,KONGO,KONGO,GP 160 D,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-011,7,2022-06-15,,
HIDROJEN PEROKSIT,DMO,2022/302,2022-07-07,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-013,60,2022-09-05,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/325,2022-08-17,FAS,FAS,FAS,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-014,22,2022-09-08,,
HIDROJEN PEROKSIT,ÖZEL,2022/330,2022-04-08,BAHÇEŞEHİR ÜNİVERSİTESİ,BAHÇEŞEHİR ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-015,42,2022-05-20,,
