kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparis_durumu,irsaliye_tarihi
AMELIYAT MASASI,YURTDIŞI,2018/031,10/3/2018,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-024,30 GÜN,11/2/2018,,
AMELIYAT MASASI,ÖZEL,2018/034,1/2/2018,DED GRUP İNŞAAT MEDİKAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MALATYA DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-001,31 GÜN,,,
AMELIYAT MASASI,YURTDIŞI,2018/085,10/3/2018,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-025,30 GÜN,11/2/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/137,7/25/2018,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-015,DERHAL,7/25/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/138,12/10/2018,RAWAT ALMAJARRA COMPANY,RAWAT ALMAJARRA COMPANY,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-038,19 GÜN,12/12/2018,,
AMELIYAT MASASI,ÖZEL,2018/145,6/29/2018,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2018/02-013,20 GÜN,7/18/2018,,
AMELIYAT MASASI,ÖZEL,2018/146,4/30/2018,ÖZTAN HASTANESİ,ÖZTAN HASTANESİ,UŞAK,2000 F,AMELİYAT MASASI,*,2018/02-006,5/10/2018 0:00,,,
AMELIYAT MASASI,YURTDIŞI,2018/149,9/3/2018,COOL DEE PA ELEKTRIC CO LTD.,COOL DEE PA ELEKTRIC CO LTD.,TAYLAND,STR 2000 F,AMELİYAT MASASI,*,2018/02-023,7 GÜN,9/7/2018,,
AMELIYAT MASASI,DMO,2018/161,12/21/2018,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,KAĞIZMAN DEVLET HASTANESİ,KARS,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-040,50 GÜN,2/9/2019,,
AMELIYAT MASASI,DMO,2018/162,12/21/2018,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,KAĞIZMAN DEVLET HASTANESİ,KARS,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-039,50 GÜN,2/9/2019,,
AMELIYAT MASASI,ÖZEL,2018/167,5/18/2018,GÜVEN HASTANESİ,GÜVEN HASTANESİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-007,51 GÜN,5/28/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/187,6/21/2018,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 6S,AMELİYAT MASASI,*,2018/02-008,52 GÜN,7/1/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/188,6/21/2018,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 6S,AMELİYAT MASASI,*,2018/02-009,53 GÜN,7/1/2018,,
AMELIYAT MASASI,İHALE,2018/237,8/29/2018,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-017,54 GÜN,,,
AMELIYAT MASASI,İHALE,2018/238,8/29/2018,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-018,55 GÜN,,,
AMELIYAT MASASI,İHALE,2018/239,8/29/2018,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-019,56 GÜN,,,
AMELIYAT MASASI,İHALE,2018/240,8/29/2018,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-020,57 GÜN,,,
AMELIYAT MASASI,İHALE,2018/241,8/29/2018,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-021,58 GÜN,,,
AMELIYAT MASASI,YURTDIŞI,2018/299,10/3/2018,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-026,30 GÜN,11/2/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/300,10/3/2018,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-027,30 GÜN,11/2/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/301,10/3/2018,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-028,30 GÜN,11/2/2018,,
AMELIYAT MASASI,DMO,2018/352,12/21/2018,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SULTANGAZİ ADSM,İSTANBUL,ERM 2000 F,AMELİYAT MASASI,*,2018/02-041,50 GÜN,2/9/2019,,
AMELIYAT MASASI,ÖZEL,2019/004,1/22/2019,İNCİRLİ SAĞLIK VE SOSYAL TESİSLERİ A.Ş.,ETİCA HASTANESİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2019/02-001,3,1/25/2019 0:00,,
AMELIYAT MASASI,ÖZEL,2019/005,4/4/2019,TÜRKİYE PETROLLERİ A.Ş.,ALİAĞA DEVLET HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,*,2019/02-018,30,3/23/2019 0:00,,
AMELIYAT MASASI,ÖZEL,2019/009,1/24/2019,ER-PA ÖZEL DENİZLİ SAĞLIK HAS.A.Ş.,ER-PA ÖZEL DENİZLİ SAĞLIK HAS.A.Ş.,DENİZLİ,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-002,59,3/24/2019 0:00,,
AMELIYAT MASASI,DMO,2019/021,2/8/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-027,126,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/035,4/24/2019,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN GERCÜŞ DEVLET HASTANESİ,BATMAN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-004,54,6/17/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/042,2/20/2019,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-005,9,3/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/052,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-006,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/053,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-007,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/054,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-008,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/055,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-009,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/056,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-010,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/057,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-011,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/058,2/28/2019,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-012,30,3/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/063,3/4/2019,UKRAYNA 2,UKRAYNA 2,UKRAYNA 2,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-013,10,3/14/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/064,3/4/2019,UKRAYNA 2,UKRAYNA 2,UKRAYNA 2,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-014,10,3/14/2019 0:00,,
AMELIYAT MASASI,ÖZEL,2019/065,3/18/2019,YÜKSELİŞ HASTANE EKİPMANLARI,TOKUŞTEPE TİBBİ CİHAZLAR,ANKARA,TKF 1100 S,AMELİYAT MASASI,*,2019/02-003,31,4/18/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/067,3/21/2019,AZERBEYCAN,AZERBEYCAN,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-015,28,4/18/2019 0:00,,
AMELIYAT MASASI,DMO,2019/079,4/4/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-016,15,4/19/2019 0:00,,
AMELIYAT MASASI,DMO,2019/080,4/4/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-017,16,4/20/2019 0:00,,
AMELIYAT MASASI,DMO,2019/088,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-019,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/089,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-020,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/090,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-021,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/091,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-022,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/092,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-023,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/093,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-024,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/094,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-025,59,6/14/2019 0:00,,
AMELIYAT MASASI,DMO,2019/095,4/16/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-026,59,6/14/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/112,5/8/2019,VİTTA,VİTTA,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-027,24,6/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/113,5/8/2019,VİTTA,VİTTA,AZERBEYCAN,STR 2000 F,AMELİYAT MASASI,*,2019/02-028,24,6/1/2019 0:00,,
AMELIYAT MASASI,DMO,2019/133,11/27/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA E ARAŞTRIMA HASTANESİ,SİVAS,ERM 2000 F,AMELİYAT MASASI,*,2019/02-073,59,1/25/2020 0:00,,
AMELIYAT MASASI,DMO,2019/134,6/27/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-033,54,8/20/2019 0:00,,
AMELIYAT MASASI,DMO,2019/143,5/30/2019,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-029,54,7/23/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/151,10/25/2019,BO TECH,BO TECH,FAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-031,4,10/29/2019 0:00,,
AMELIYAT MASASI,DMO,2019/152,11/22/2019,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-032,1,11/23/2019 0:00,,
AMELIYAT MASASI,DMO,2019/153,6/27/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-033,54,8/20/2019 0:00,,
AMELIYAT MASASI,DMO,2019/154,6/27/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SU ŞEHRİ DEVLET HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-034,54,8/20/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/155,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-036,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/156,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-037,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/157,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-038,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/158,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-039,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/159,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-040,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/160,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-041,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/161,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-042,39,8/10/2019 0:00,,
AMELIYAT MASASI,İHALE,2019/162,7/2/2019,YÜKSELİŞ HASTANE EKİPMANLARI,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,TKF 1100 S,AMELİYAT MASASI,*,2019/02-043,39,8/10/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/168,10/23/2019,MME LLC,MME LLC,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-044,5,10/28/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/169,10/23/2019,MME LLC,MME LLC,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-045,5,10/28/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/171,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-046,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/172,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-047,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/185,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-048,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/186,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-049,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/187,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-050,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/188,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-051,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/189,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-052,31,8/30/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/190,7/30/2019,ALNOOR ALMOMAYEZ,ALNOOR ALMOMAYEZ,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-053,31,8/30/2019 0:00,,
AMELIYAT MASASI,ÖZEL,2019/204,8/21/2019,UĞUR SAĞLIK HİZMETLERİ A.Ş.,ÖZEL EREĞLİ ECOMAR HASTANESİ,ZONGULDAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-054,3,DERHAL,,
AMELIYAT MASASI,YURTDIŞI,2019/206,8/23/2019,NP KOMED,NP KOMED,KOSOVA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-055,9,9/1/2019 0:00,,
AMELIYAT MASASI,DMO,2019/208,8/26/2019,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ UYGULAMA E ARAŞTRIMA HASTANESİ,SİVAS,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-056,49,10/14/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/216,10/8/2019,KPI GROUP,KPI GROUP,GÜRCİSTAN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-057,1,10/9/2019 0:00,,
AMELIYAT MASASI,ÖZEL,2019/222,10/12/2019,EFE MARDİN,EFE MARDİN,MARDİN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-058,0,10/12/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/264,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-059,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/265,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-060,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/266,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-061,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/267,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-062,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/268,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-063,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/269,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-064,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/270,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-065,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/271,11/5/2019,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2019/02-066,26,12/1/2019 0:00,,
AMELIYAT MASASI,YURTDIŞI,2019/272,11/6/2019,MED STANDART,MED STANDART,UKRAYNA,STR 2000,AMELİYAT MASASI,*,2019/02-067,25,12/1/2019 0:00,,
